STM_MW00461	riboflavin biosynthesis protein RibF
SEN1706	Phenylalanyl-tRNA synthetase beta chain
ROD_22361	Methionyl-tRNA synthetase
STMMW_38221	DNA polymerase III beta-subunit
ROD_36161	probable O-sialoglycoprotein endopeptidase (glycoprotease)
t1294	riboflavin synthase alpha chain
STMMW_41011	transcription antitermination protein
ENC_03910	DNA gyrase subunit B
BN373_43321	DNA-directed RNA polymerase, alpha subunit
ERS227112_02097	ICORN_RH20207_annotate_bacteria_02097
t2446	6,7-dimethyl-8-ribityllumazine synthase
ETEC_3558	30S ribosomal subunit protein S8
SL1344_3506	aspartate-semialdehyde dehydrogenase
SEN2399	Glutamyl-tRNA synthetase
SEN2526	extragenic suppressor protein SuhB
SL1344_0219	Uridylate kinase
ROD_18461	conserved hypothetical protein
SL3261_0217	30S ribosomal protein S2
SL1344_1132	3-oxoacyl-[acyl-carrier protein
ETEC_3560	50S ribosomal subunit protein L5
NCTC13441_00125	Glycine--tRNA ligase beta subunit,glycyl-tRNA synthetase subunit beta,glycine--tRNA ligase, beta subunit,Glycyl-tRNA synthetase beta subunit
ENC_34130	membrane protease FtsH catalytic subunit
ETEC_2690	inositol-1-monophosphatase
ROD_45131	50S ribosomal subunit protein L24
CS17_04647	putative hydrolase,hypothetical protein,ADP-binding protein,ATPase, YjeE family,Uncharacterised P-loop hydrolase UPF0079
ERS227112_00880	ICORN_RH20207_annotate_bacteria_00880
SL3261_0205	conserved hypothetical protein
ENC_15400	thymidylate kinase
ROD_00241	lipoprotein signal peptidase
t1627	DNA topoisomerase I, omega protein I
SL1344_3290	conserved hypothetical protein
SEN3739	porphobilinogen deaminase
STM_MW13451	phenylalanyl-tRNA synthetase beta chain
BN373_06821	outer membrane protein assembly complex, YaeT protein
ENC_14150	LSU ribosomal protein L20P
NCTC13441_00374	30S ribosomal protein S10,30S ribosomal protein S10,ribosomal protein S10,Ribosomal protein S10p/S20e
STM_MW39431	ubiquinone biosynthesis protein
ETEC_3555	30s ribosomal protein S5
SL3261_0230	Lipid-A-disaccharide synthase
ETEC_3593	30S ribosomal subunit protein S7
STM_MW31721	RNA polymerase sigma-70 factor
ERS227112_00999	ICORN_RH20207_annotate_bacteria_00999
STMMW_02231	EF-Ts
SL1344_3394	30S ribosomal subunit protein S14
CS17_04096	guanylate kinase,Guanylate kinase,guanylate kinase,Guanylate kinase,guanylate kinase,Guanylate kinase
ROD_01021	UDP-3-O-[3-hydroxymyristoyl
t4091	50S ribosomal subunit protein L17
BN373_17051	3-oxoacyl-[acyl-carrier-protein
t0592	DNA gyrase subunit A
ETEC_2972	CTP synthetase
ERS227112_02289	ICORN_RH20207_annotate_bacteria_02289
ENC_46060	cell division protein FtsA
ROD_45051	50S ribosomal subunit protein L2
ETEC_3881	deoxyuridine 5'-triphosphate nucleotidohydrolase
SL3261_4171	4-hydroxybenzoate octaprenyl transferase
STM_MW41041	50S ribosomal subunit protein L10
STMMW_38271	putative membrane protein
ENC_34110	phosphoglucosamine mutase
SEN0130	UDP-N-acetylmuramate:alanine ligase
SL3261_0129	UDP-N-acetylmuramate--L-alanine ligase
STMMW_01891	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
STMMW_29161	CTP synthetase
SL1344_1381	tyrosyl-tRNA synthetase
SEN0233	UDP-3-O-[3-hydroxymyristoyl
ROD_17291	DNA topoisomerase I (omega protein)
STM_MW34191	30S ribosomal subunit protein S8
ERS227112_03820	ICORN_RH20207_annotate_bacteria_03820
STMMW_30301	phosphoglycerate kinase
ROD_45581	biotin carboxylase (acetyl-CoA carboxylase subunit A)
ROD_37651	DNA-directed RNA polymerase, beta-subunit
ROD_45201	50S ribosomal subunit protein L30
STM_MW32861	protein chain initiation factor 2
NCTC13441_04523	UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylmuramate dehydrogenase,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
STM_MW37291	5'guanylate kinase
STMMW_34281	30S ribosomal subunit protein S19
STMMW_07441	glutaminyl-tRNA synthetase
ROD_01011	cell division protein FtsZ
NCTC13441_02165	Phenylalanine--tRNA ligase alpha subunit,phenylalanyl-tRNA synthetase subunit alpha,Phenylalanyl-tRNA synthetase alpha subunit,phenylalanine--tRNA ligase, alpha subunit,tRNA synthetases class II core domain (F)
t1719	DNA polymerase III, delta' subunit
NCTC13441_00380	50S ribosomal protein L22,50S ribosomal protein L22,ribosomal protein L22,Ribosomal protein L22p/L17e
SEN2594	50S ribosomal subunit protein L19
SL1344_0047	isoleucyl-tRNA synthetase
CS17_03753	50S ribosomal protein L23,50S ribosomal protein L23,50S ribosomal protein L23,Ribosomal protein L23,archaeal ribosomal protein L23,Ribosomal protein L23
BN373_01441	chaperonin GroS
SL3261_0411	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
ETEC_3559	30S ribosomal subunit protein S14
NCTC13441_03807	Elongation factor Ts,elongation factor Ts,Translation elongation factor Ts,translation elongation factor Ts,Elongation factor TS
SL3261_4090	50S ribosomal subunit protein L10
SL3261_3696	conserved hypothetical protein
ROD_32861	inorganic pyrophosphatase
SL3261_3805	chromosomal replication initiator protein
SL3261_3260	transcription termination/antitermination L factor
ETEC_1181	lipoprotein-releasing system transmembrane protein
ERS227112_01710	ICORN_RH20207_annotate_bacteria_01710
SL3261_1706	Outer-membrane lipoprotein lolB precursor.
t2632	signal recognition particle protein
SL1344_3697	deoxyuridine 5'-triphosphate nucleotidohydrolase
ROD_01001	cell division protein FtsA
SEN3016	1-acyl-glycerol-3-phosphate acyltransferase
STM_MW01281	penicillin-binding protein 3 precursor
t4090	DNA-directed RNA polymerase alpha chain
SL1344_0921	probable transport ATP-binding protein MsbA
SL1344_3045	phosphoglycerate kinase
ROD_46311	UDP-N-acetylglucosamine L-carboxyvinyltransferase
NCTC13441_03803	Undecaprenyl pyrophosphate synthase,undecaprenyl pyrophosphate synthase,Undecaprenyl pyrophosphate synthase,di-trans,poly-cis-decaprenylcistransferase,Putative undecaprenyl diphosphate synthase
ENC_25320	Ribosomal protein L23
STMMW_07131	leucyl-tRNA synthetase
t0047	riboflavin biosynthesis protein RibF
NCTC13441_01135	50S ribosomal protein L19,50S ribosomal protein L19,Ribosomal protein L19,ribosomal protein L19,Ribosomal protein L19
NCTC13441_03503	Ferrochelatase,ferrochelatase,Protoheme ferro-lyase (ferrochelatase),ferrochelatase,Ferrochelatase
NCTC13441_00625	Sigma-70,RNA polymerase sigma factor RpoD,RNA polymerase sigma factor RpoD,Sigma-70, non-essential region
ETEC_0089	UDP-N-acetylmuramate:alanine ligase
ETEC_2971	enolase
BN373_43551	ribosomal protein L4
t0131	cell division protein FtsW
ROD_43571	cell division protein
ROD_32571	30S ribosomal subunit protein S18
SL1344_2508	extragenic suppressor protein SuhB
ETEC_3572	50S ribosomal subunit protein L3
ROD_36301	single-stranded binding protein
SEN2844	prolipoprotein diacylglyceryl transferase
ENC_47050	lipid-A-disaccharide synthase
SEN3262	30S ribosomal subunit protein S3
SL1344_0227	UDP-3-O-[3-hydroxymyristoyl
ERS227112_00867	ICORN_RH20207_annotate_bacteria_00867
STMMW_05591	ferrochelatase
STMMW_41961	replicative DNA helicase
ROD_40281	DNA gyrase subunit B
BN373_43361	preprotein translocase, SecY subunit
ROD_27351	3-oxoacyl-[acyl-carrier-protein
t1703	ABC transporter integral membrane subunit
ROD_30341	CTP synthetase
ENC_01450	protein translocase subunit secE/sec61 gamma
SL1344_1270	50S ribosomal protein L20. Chloroplast 50S ribosomal protein L20.
SL1344_1708	Ribose-phosphate pyrophosphokinase
STMMW_02101	conserved hypothetical protein
SL1344_3621	glycine-tRNA synthetase, alpha subunit
ETEC_1747	Phenylalanyl-tRNA synthetase alpha chain
CS17_01254	outer membrane-specific lipoprotein transporter subunit LolC,Lipoprotein-releasing system transmembrane protein lolC,outer membrane-specific lipoprotein transporter subunit LolC,lipoprotein releasing system, transmembrane protein, LolC/E family,FtsX-like permease family
CS17_03763	30S ribosomal protein S12,30S ribosomal protein S12,30S ribosomal protein S12,Ribosomal protein S12,ribosomal protein S12,Ribosomal protein S12
NCTC13441_03307	Flavodoxin-1,flavodoxin FldA,Flavodoxin,flavodoxin,Flavodoxin
SL1344_3265	PGM/PMM-family protein
SL1344_0125	Phospho-N-acetylmuramoyl-pentapeptide-transfera se
STMMW_34151	50S ribosomal subunit protein L30
ROD_32281	putative hydrolase
SL1344_3147	1-acyl-glycerol-3-phosphate acyltransferase
NCTC13441_02632	Glutamyl-tRNA reductase,glutamyl-tRNA reductase,Glutamyl-tRNA reductase,glutamyl-tRNA reductase,Glutamyl-tRNAGlu reductase, N-terminal domain
STM_MW34181	50S ribosomal subunit protein L6
STMMW_18121	conserved hypothetical protein
ETEC_3454	UDP-N-acetylglucosamine L-carboxyvinyltransferase
SL1344_0416	1-deoxyxylulose-5-phosphate synthase
STMMW_04871	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
STMMW_37291	5'guanylate kinase
ROD_37671	50S ribosomal subunit protein L10
ROD_25641	probable inorganic polyphosphate/ATP NAD kinase
NCTC13441_03891	Cell division protein FtsA,cell division protein FtsA,Ethanolamine utilization protein, possible chaperonin,cell division protein FtsA,Cell division protein FtsA
ETEC_0094	UDP-3-O-[3-hydroxymyristoyl
SL3261_3620	glycine-tRNA synthetase, beta subunit
NCTC13441_00491	Lipopolysaccharide export system ATP-binding protein LptB,lipopolysaccharide ABC transporter ATP-binding protein,Uncharacterized protein conserved in bacteria,daunorubicin resistance ABC transporter, ATP-binding protein,ABC transporter
ETEC_3682	aspartate-semialdehyde dehydrogenase
ENC_20700	DNA polymerase III, delta subunit
SL1344_4172	glycerol-3-phosphate acyltransferase
ENC_34070	transcription termination factor NusA/transcription termination factor NusA, C-terminal duplication
SL1344_0230	Lipid-A-disaccharide synthase
ERS227112_02432	ICORN_RH20207_annotate_bacteria_02432
ERS227112_04495	ICORN_RH20207_annotate_bacteria_04495
ROD_01731	elongation factor Ts
SEN4118	phosphatidylserine decarboxylase proenzyme
STM_MW13401	threonyl-tRNA synthetase
ERS227112_01536	ICORN_RH20207_annotate_bacteria_01536
ERS227112_01552	ICORN_RH20207_annotate_bacteria_01552
SL3261_1138	DNA polymerase III, delta' subunit
CS17_00086	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-ala ni ne ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Mur ligase middle domain
ERS227112_00020	ICORN_RH20207_annotate_bacteria_00020
CS17_00985	chromosome partition protein,hypothetical protein,condesin subunit F,KicB killing factor
STM_MW42961	phosphatidylserine decarboxylase proenzyme
STMMW_02241	uridine 5'-monophosphate kinase
STM_MW34151	50S ribosomal subunit protein L30
SL3261_3279	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
t1613	enoyl-[acyl-carrier-protein
NCTC13441_03565	Riboflavin biosynthesis protein RibD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,Pyrimidine deaminase,riboflavin biosynthesis protein RibD,RibD C-terminal domain
NCTC13441_02967	hypothetical protein,condesin subunit F,KicB killing factor
ETEC_3452	octaprenyl-diphosphate synthase
ETEC_1164	DNA polymerase III, delta' subunit
SL3261_0402	protein-export membrane protein SecD
BN373_06761	UMP kinase
ETEC_3991	DNA polymerase III beta-subunit
ENC_01390	DNA-directed RNA polymerase subunit beta
ENC_46010	cell division-specific peptidoglycan biosynthesis regulator FtsW
t0230	lipid-A-disaccharide synthase
NCTC13441_04811	Oxa1Ec,membrane protein insertase,membrane protein insertase, YidC/Oxa1 family, N-terminal domain,60Kd inner membrane protein
SEN1853	Acyl carrier protein
ENC_25170	ribosomal protein S5, bacterial/organelle type
SL3261_2542	GTP-binding protein era homolog.
ETEC_3889	guanylate kinase
ERS227112_03116	ICORN_RH20207_annotate_bacteria_03116
CS17_04639	phosphatidylserine decarboxylase proenzyme,Phosphatidylserine decarboxylase proenzyme,phosphatidylserine decarboxylase,Na /alanine symporter,phosphatidylserine decarboxylase,Phosphatidylserine decarboxylase
ROD_06521	rod shape-determining protein RodA
t1940	cell division protein
SL1344_1631	enoyl-[acyl-carrier-protein
BN373_43631	ribosomal protein S7
ROD_25591	30S ribosomal subunit protein S16
NCTC13441_01395	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,acetyl-CoA carboxylase subunit beta,Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta),acetyl-CoA carboxylase, carboxyl transferase, beta subunit,Carboxyl transferase domain
NCTC13441_00517	Phosphoglucosamine mutase,phosphoglucosamine mutase,Predicted glutamine amidotransferase,phosphoglucosamine mutase,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
ENC_17510	asparaginyl-tRNA synthetase
CS17_00198	tRNA(Ile)-lysidine synthetase,tRNA(Ile)-lysidine synthase,tRNA(Ile)-lysidine synthetase,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,tRNA(Ile)-lysidine synthetase,PP-loop family
BN373_43061	acetyl-CoA carboxylase, biotin carboxylase
ETEC_3880	coenzyme A biosynthesis bifunctional protein [includes: phosphopantothenoylcysteine decarboxylase; phosphopantothenate-cysteine ligase
ENC_36980	phosphopantethiene--protein transferase domain
BN373_49111	transcription termination factor Rho
ETEC_4509	phosphatidylserine decarboxylase proenzyme
SL3261_3876	transcription termination factor
ERS227112_00025	ICORN_RH20207_annotate_bacteria_00025
ERS227112_01003	ICORN_RH20207_annotate_bacteria_01003
CS17_03751	30S ribosomal protein S19,30S ribosomal protein S19,30S ribosomal protein S19,Ribosomal protein S19,ribosomal protein S19,Ribosomal protein S19
ETEC_0998	asparaginyl-tRNA synthetase
CS17_03494	O-sialoglycoprotein endopeptidase,t(6)A37 threonylcarbamoyladenosine biosynthesis protein,UGMP family protein,Transcription initiation factor TFIID, subunit TAF12 (also component of histone acetyltransferase SAGA),putative glycoprotease GCP,Glycoprotease family
ETEC_4236	UDP-N-acetylenolpyruvoylglucosamine reductase
STMMW_25931	holo-[acyl-carrier protein
STMMW_12091	dTMP kinase
ENC_30010	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
NCTC13441_04431	Replicative DNA helicase,replicative DNA helicase,Replicative DNA helicase,replicative DNA helicase,DnaB-like helicase C terminal domain
ENC_42620	phosphatidylserine decarboxylase precursor
ROD_01741	uridylate kinase
t1724	acyl carrier protein
NCTC13441_00390	50S ribosomal protein L6,50S ribosomal protein L6,ribosomal protein L6,Ribosomal protein L6
SL1344_0922	tetraacyldisaccharide 4'-kinase
NCTC13441_03897	UDP-N-acetylmuramoylalanine--D-glutamate ligase,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,Folylpolyglutamate synthase,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Mur ligase middle domain
SEN4099	GroES protein
SL1344_2132	Methionyl-tRNA synthetase
ERS227112_02810	ICORN_RH20207_annotate_bacteria_02810
SL1344_0134	UDP-3-O-[3-hydroxymyristoyl
SL3261_3393	30S ribosomal subunit protein S8
ETEC_1748	50S ribosomal subunit protein L20
NCTC13441_04186	Lipopolysaccharide export system permease protein lptG,lipopolysaccharide ABC transporter permease,Predicted permeases,Predicted permease YjgP/YjgQ family
NCTC13441_04510	L8,50S ribosomal protein L7/L12,ribosomal protein L7/L12,Ribosomal protein L7/L12 C-terminal domain
ENC_46140	dephospho-CoA kinase
STM_MW41011	transcription antitermination protein
ENC_39630	DNA gyrase subunit A
t4067	50S ribosomal subunit protein L23
ROD_05331	ferrochelatase
SL1344_2980	Prolipoprotein diacylglyceryl transferase
ENC_34380	ABC-type (unclassified) transport system, ATPase component
BN373_42361	phosphoglucosamine mutase
SEN0469	adenylate kinase
SL1344_0891	initiation factor IF-1
NCTC13441_01025	Cell division protein FtsB,cell division protein FtsB,Septum formation initiator
SL3261_2347	3-oxoacyl-[acyl-carrier-protein
ERS227112_00050	ICORN_RH20207_annotate_bacteria_00050
BN373_43541	ribosomal protein L23
STMMW_22961	DNA gyrase subunit A
CS17_01993	protease YeaZ,hypothetical protein,UGMP family protein,universal bacterial protein YeaZ,Glycoprotease family
BN373_40891	DNA topoisomerase IV, A subunit
ERS227112_00948	ICORN_RH20207_annotate_bacteria_00948
ETEC_3592	elongation factor G
SEN0857	initiation factor IF-1
t3224	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
STMMW_07051	penicillin-binding protein
ENC_29420	alanyl-tRNA synthetase
SL3261_3353	biotin carboxylase
SEN0209	conserved hypothetical protein
CS17_02947	50S ribosomal protein L19,50S ribosomal protein L19,50S ribosomal protein L19,Ribosomal protein L19,ribosomal protein L19,Ribosomal protein L19
SL1344_4474	DNA replication protein
SL3261_2980	Prolipoprotein diacylglyceryl transferase
SL1344_3397	50S ribosomal subunit protein L14
ERS227112_03829	ICORN_RH20207_annotate_bacteria_03829
SEN3127	PGM/PMM-family protein
SL1344_0937	asparaginyl-tRNA synthetase
SEN0236	Lipid-A-disaccharide synthase
BN373_05891	UDP-3-O-[3-hydroxymyristoyl
SEN0239	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CS17_00183	undecaprenyl pyrophosphate synthetase,Undecaprenyl pyrophosphate synthase,undecaprenyl pyrophosphate synthase,Undecaprenyl pyrophosphate synthase,di-trans,poly-cis-decaprenylcistransferase,Putative undecaprenyl diphosphate synthase
NCTC13441_00266	Aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,Aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,Semialdehyde dehydrogenase, dimerisation domain
STM_MW09921	30S ribosomal protein S1
ENC_07590	glutamyl-tRNA reductase
NCTC13441_03781	Proline--tRNA ligase,prolyl-tRNA synthetase,Prolyl-tRNA synthetase,proline--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
STMMW_36451	glycine-tRNA synthetase, alpha subunit
CS17_01902	threonine tRNA synthetase,Threonine--tRNA ligase,threonyl-tRNA synthetase,Prolyl-tRNA synthetase,threonine--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
ROD_46331	octaprenyl-diphosphate synthase
ENC_25340	LSU ribosomal protein L3P
ETEC_1182	lipoprotein-releasing system ATP-binding protein
STM_MW26901	30S ribosomal subunit protein S16
CS17_01255	lipoprotein transporter ATP-binding subunit,Lipoprotein-releasing system ATP-binding protein LolD,lipoprotein transporter ATP-binding subunit,Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component,lipoprotein releasing system, ATP-binding protein,ABC transporter
SEN3178	50S ribosomal subunit protein L13
SL1344_3381	50S ribosomal subunit protein L17
STM_MW34301	50S ribosomal subunit protein L23
SEN3652	DNA gyrase subunit B
CS17_03609	transcription termination/antitermination factor NusA,N utilization substance protein A,transcription elongation factor NusA,Transcription elongation factor,transcription termination factor NusA,NusA N-terminal domain
SEN3134	probable GTP-binding protein
BN373_12741	glutaminyl-tRNA synthetase
STMMW_17691	GluTR
ENC_42390	Co-chaperonin GroES (HSP10)
STM_MW09751	seryl-tRNA synthetase
NCTC13441_01171	Signal peptidase I,signal peptidase I,Type IV secretory pathway, protease TraF,signal peptidase I,Peptidase S24-like
BN373_08561	6,7-dimethyl-8-ribityllumazine synthase
STM_MW02261	hypothetical protein in frr 3'region
ENC_25210	SSU ribosomal protein S14P
ROD_01821	UDP-3-O-[3-hydroxymyristoyl
SEN2348	acetyl-CoA carboxylase beta subunit
SEN1322	GTP cyclohydrolase II
STM_MW24371	glutamyl-tRNA synthetase
NCTC13441_00391	50S ribosomal protein L18,50S ribosomal protein L18,ribosomal protein L18,Ribosomal L18p/L5e family
ENC_25400	SSU ribosomal protein S7P
SEN2595	tRNA(guanine-N1)methyltransferase
STM_MW34211	50S ribosomal subunit protein L5
BN373_31631	methionyl-tRNA synthetase
ETEC_3338	RNA polymerase sigma-70 factor
STM_MW13441	phenylalanyl-tRNA synthetase alpha chain
CS17_00096	UDP-3-O-[3-hydroxymyristoyl
CS17_01474	enoyl-(acyl carrier protein) reductase,Enoyl-[acyl-carrier-protein
BN373_05781	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase
SEN4233	putative inner membrane protein
SL1344_3276	50S ribosomal subunit protein L21
SEN1849	thymidylate kinase
ROD_11831	lipoprotein-releasing system transmembrane protein
ETEC_3466	putative organic solvent tolerance ABC transporter, ATP-binding protein
STMMW_40981	pantothenate kinase
ROD_06921	flavodoxin 1
ENC_46000	UDP-N-acetylmuramoylalanine--D-glutamate ligase
NCTC13441_03559	1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, C-terminal subunit,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, pyrimidine binding domain
ETEC_2776	holo-[acyl-carrier-protein
SL1344_0243	prolyl-tRNA synthetase
STM_MW04771	protein-export membrane protein SecD
ROD_05611	bifunctional protein FolD
ENC_20750	cell elongation-specific peptidoglycan biosynthesis regulator RodA
ERS227112_02425	ICORN_RH20207_annotate_bacteria_02425
SEN0250	prolyl-tRNA synthetase
ETEC_3510	rod shape-determining protein
ROD_18031	glutamyl-tRNA reductase
STM_MW02371	DNA polymerase III, alpha chain
STM_MW34381	elongation factor G
SL3261_0232	DNA polymerase III, alpha chain
NCTC13441_01128	Heat shock protein B25.3,heat shock protein GrpE,GrpE
STM_MW06101	FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase; methenyltetrahydrofolate cyclohydrolase
ROD_01081	dephospho-CoA kinase
SEN3676	UDP-N-acetylglucosamine pyrophosphorylase
STM_MW38201	DNA gyrase subunit B
ETEC_3803	glycine-tRNA synthetase, beta subunit
STMMW_33171	putative exported protein
NCTC13441_03504	Adenylate kinase,adenylate kinase,adenylate kinase,Adenylate kinase
ERS227112_01002	ICORN_RH20207_annotate_bacteria_01002
ENC_47070	DNA polymerase III, alpha subunit
STMMW_00481	lipoprotein signal peptidase
CS17_00641	penicillin-binding protein 2,Peptidoglycan synthase FtsI precursor,penicillin-binding protein 2,Membrane carboxypeptidase/penicillin-binding protein,penicillin-binding protein 2,Penicillin binding protein transpeptidase domain
ETEC_2459	3-oxoacyl-[acyl-carrier-protein
SL3261_3405	50S ribosomal subunit protein L23
STM_MW36441	glycine-tRNA synthetase, beta subunit
CS17_04449	DNA-directed RNA polymerase subunit beta,DNA-directed RNA polymerase subunit beta,DNA-directed RNA polymerase subunit beta,DNA-directed RNA polymerase, beta subunit,RNA polymerase Rpb2, domain 6
BN373_27621	phenylalanyl-tRNA synthetase, alpha subunit
CS17_03750	50S ribosomal protein L22,50S ribosomal protein L22,50S ribosomal protein L22,ribosomal protein L22,Ribosomal protein L22p/L17e
ERS227112_00656	ICORN_RH20207_annotate_bacteria_00656
CS17_03756	30S ribosomal protein S10,30S ribosomal protein S10,30S ribosomal protein S10,ribosomal protein S10,Ribosomal protein S10p/S20e
SL1344_3291	probable ABC transport protein, ATP-binding component
t2371	ferrochelatase
SEN3937	DNA-directed RNA polymerase, beta-subunit
STMMW_02481	prolyl-tRNA synthetase
STM_MW34261	30S ribosomal subunit protein S3
ROD_00901	peptidoglycan synthetase (penicillin-binding protein 3)
STMMW_01331	cell division protein FtsW
ROD_32221	phosphatidylserine decarboxylase proenzyme
BN373_47461	DNA gyrase, B subunit
ETEC_4244	50S ribosomal subunit protein L10
STMMW_02321	UDP-3-O-[3-hydroxymyristoyl
SEN1831	ABC transporter ATP-binding subunit
ROD_48601	DNA replication protein
ETEC_0177	lipid-A-disaccharide synthase
STMMW_09751	seryl-tRNA synthetase
SL3261_3389	50S ribosomal subunit protein L30
t2447	riboflavin biosynthesis protein RibD
t0232	DNA polymerase III, alpha chain
CS17_00686	flavodoxin 1,Flavodoxin-1,flavodoxin FldA,Flavodoxin,flavodoxin,Flavodoxin
ENC_33090	O-sialoglycoprotein endopeptidase
SL1344_0132	cell division protein FtsA
ERS227112_01001	ICORN_RH20207_annotate_bacteria_01001
SL3261_0627	rod shape-determining protein RodA
STMMW_33711	rod shape-determining protein
CS17_00166	iron-sulfur cluster insertion protein ErpA,Iron-sulfur cluster insertion protein erpA,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster assembly accessory protein,Iron-sulphur cluster biosynthesis
SEN3269	30S ribosomal subunit protein S10
t0128	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase
ETEC_2779	GTP-binding protein
ERS227112_03143	ICORN_RH20207_annotate_bacteria_03143
ROD_00961	UDP-N-acetylglucosamine--N-acetylmuramyl-(penta peptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
ETEC_3875	phosphopantetheine adenylyltransferase
STM_MW01341	UDP-N-acetylglucosamine:N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
ERS227112_01154	ICORN_RH20207_annotate_bacteria_01154
STM_MW12031	malonyl CoA-acyl carrier protein transacylase
ROD_37061	4-hydroxybenzoate octaprenyltransferase
STMMW_02371	DNA polymerase III, alpha chain
BN373_02841	putative permease
ROD_01881	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
ROD_01761	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ENC_45990	Phospho-N-acetylmuramoyl-pentapeptide-transferase
ROD_23711	cell division protein
STM_MW34251	50S ribosomal subunit protein L16
SL1344_1271	phenylalanyl-tRNA synthetase alpha chain
t0701	methionyl-tRNA synthetase
ENC_47020	UDP-3-O-[3-hydroxymyristoyl
STMMW_12261	ABC transporter integral membrane subunit
BN373_42381	ATP-dependent metallopeptidase HflB
NCTC13441_00492	Lipopolysaccharide export system protein lptA precursor,lipopolysaccharide transport periplasmic protein LptA,Uncharacterized protein conserved in bacteria,lipopolysaccharide transport periplasmic protein LptA,OstA-like protein
STM_MW34171	50S ribosomal subunit protein L18
CS17_04081	phosphopantetheine adenylyltransferase,Phosphopantetheine adenylyltransferase,phosphopantetheine adenylyltransferase,Predicted ATPase/kinase involved in NAD metabolism,pantetheine-phosphate adenylyltransferase,Cytidylyltransferase
ENC_47160	prolyl-tRNA synthetase, family II
STMMW_09651	initiation factor IF-1
SL3261_3893	porphobilinogen deaminase
STM_MW01891	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
ERS227112_00877	ICORN_RH20207_annotate_bacteria_00877
ERS227112_01134	ICORN_RH20207_annotate_bacteria_01134
ETEC_3436	transcription elongation protein
ETEC_4246	DNA-directed RNA polymerase, beta-subunit
ETEC_3557	50S ribosomal subunit protein L6
ERS227112_00987	ICORN_RH20207_annotate_bacteria_00987
t0136	cell division protein FtsA
ROD_11551	3-oxoacyl-[acyl-carrier protein
STMMW_04921	1-deoxyxylulose-5-phosphate synthase
ENC_20470	glutaminyl-tRNA synthetase
ETEC_0165	elongation factor Ts
STM_MW01461	Dephospho-CoA kinase
SEN0127	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
ENC_25300	SSU ribosomal protein S19P
SEN2562	signal peptidase I
STM_MW09651	initiation factor IF-1
STM_MW41061	DNA-directed RNA polymerase, beta-subunit
NCTC13441_02486	GTP cyclohydrolase-2,GTP cyclohydrolase II,GTP cyclohydrolase II,GTP cyclohydrolase II
