CS17_00008	transaldolase B,Transaldolase,transaldolase B,Transaldolase,transaldolase,Transaldolase
SEN2976	possible hydrolase
SEN2981	hypothetical protein
SEN2996	putative membrane protein
SEN2997	exported protein
SEN2998	hypothetical protein
SEN2999	hypothetical protein
SEN3003	conserved hypothetical protein
SEN3010	conserved hypothetical protein
SEN3013	possible membrane transport protein
SEN3014	putative membrane transport protein (inner membrane component)
SEN3016	1-acyl-glycerol-3-phosphate acyltransferase
SEN3017	topoisomerase IV subunit A
SEN3024	topoisomerase IV subunit B
SEN3034	probable arylsulfate sulfotransferase
SEN3035	disulfide isomerase
SEN3037	3,4-dihydroxy-2-butanone 4-phosphate synthase
SEN3038	conserved hypothetical protein
SEN3046	tRNA nucleotidyltransferase
SEN3048	dihydroneopterin aldolase
SEN3051	possible glycoprotease
SEN3052	30S ribosomal subunit protein S21
SEN3053	DNA primase
SEN3054	RNA polymerase sigma-70 factor
SEN3058	methyl-accepting chemotaxis protein II
SEN3075	putative membrane protein
SEN3080	putative membrane transport protein
SEN3083	propionate kinase
SEN3085	catabolic threonine dehydratase
SEN3086	TDC operon transcriptional activator
SEN3112	putative membrane protein
SEN3113	putative conserved hypothetical protein
SEN3118	30S ribosomal subunit protein S15
SEN3120	ribosome-binding factor A (P15B protein)
SEN3121	protein chain initiation factor 2
SEN3122	L factor
SEN3123	conserved hypothetical protein
SEN3125	hypothetical protein
SEN3127	PGM/PMM-family protein
SEN3128	dihydropteroate synthase
SEN3129	cell division protein
SEN3134	probable GTP-binding protein
SEN3136	50S ribosomal subunit protein L27
SEN3137	50S ribosomal subunit protein L21
SEN3138	octaprenyl-diphosphate synthase
SEN3140	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
SEN3142	possible anti-sigma factor antagonist
SEN3150	possible exported protein
SEN3151	conserved hypothetical protein
SEN3152	probable ABC transport protein, ATP-binding component
SEN3153	RNA polymerase sigma-54 factor (sigma-N)
SEN3177	30S ribosomal subunit protein S9
SEN3178	50S ribosomal subunit protein L13
SEN3180	conserved hypothetical protein
SEN3186	oxaloacetate decarboxylase gamma chain (ec 4.1.1.3)
SEN3187	tartrate dehydratase
SEN3205	rod shape-determining protein
SEN3206	rod shape-determining protein
SEN3207	rod shape-determining protein
SEN3213	biotin carboxyl carrier protein
SEN3214	biotin carboxylase
SEN3215	conserved hypothetical protein
SEN3223	TetR-family transcriptional regulator
SEN3226	possible lipoprotein
SEN3227	putative transferase
SEN3228	conserved hypothetical protein
SEN3230	conserved hypothetical protein
SEN3231	conserved hypothetical protein
SEN3232	conserved hypothetical protein
SEN3233	conserved hypothetical protein
SEN3234	polypeptide deformylase
SEN3235	methionyl-tRNA formyltransferase
SEN3236	sun protein
SEN3238	large-conductance mechanosensitive channel
SEN3239	conserved hypothetical protein
SEN3242	50S ribosomal subunit protein L17
SEN3243	DNA-directed RNA polymerase alpha chain
SEN3244	30S ribosomal subunit protein S4
SEN3245	30S ribosomal subunit protein S11
SEN3246	30S ribosomal subunit protein S13
SEN3248	preprotein translocase subunit
SEN3249	50S ribosomal subunit protein L15
SEN3250	50S ribosomal subunit protein L30
SEN3251	30S ribosomal subunit protein S5
SEN3252	50S ribosomal subunit protein L18
SEN3253	50S ribosomal subunit protein L6
SEN3254	30S ribosomal subunit protein S8
SEN3255	30S ribosomal subunit protein S14
SEN3256	50S ribosomal subunit protein L5
SEN3257	50S ribosomal subunit protein L24
SEN3258	50S ribosomal subunit protein L14
SEN3259	30S ribosomal subunit protein S17
SEN3260	50S ribosomal subunit protein L29
SEN3261	50S ribosomal subunit protein L16
SEN3262	30S ribosomal subunit protein S3
SEN3263	50s ribosomal protein l22
SEN3264	30S ribosomal subunit protein S19
SEN3265	50S ribosomal subunit protein L2
SEN3266	50S ribosomal subunit protein L23
SEN3267	50S ribosomal subunit protein L4
SEN3268	50S ribosomal subunit protein L3
SEN3269	30S ribosomal subunit protein S10
SEN3270	Type III leader peptidase
SEN3274	elongation factor G
SEN3275	30S ribosomal subunit protein S7
SEN3276	30S ribosomal subunit protein S12
SEN3278	conserved hypothetical protein
SEN3281	FKBP-type peptidyl-prolyl isomerase
SEN3283	FKBP-type peptidyl-prolyl cis-trans isomerase
SEN3285	glutathione-regulated potassium-efflux system protein (K(+)/H(+)antiporter)
SEN3286	putative oxidoreductase
SEN3291	phosphoribulokinase
SEN3294	conserved membrane protein
SEN3295	acetylornithine aminotransferase
SEN3296	para-aminobenzoate synthase, glutamine amidotransferase component II
SEN3297	cell filamentation protein Fic
SEN3299	peptidyl-prolyl cis-trans isomerase
SEN3300	putative membrane protein
SEN3302	nitrite reductase (NAD(P)H) small subunit
SEN3303	putative nitrite transporter
SEN3305	putative surface-exposed virulence protein BigA
SEN3306	conserved hypothetical protein
SEN3307	tryptophanyl-tRNA synthetase
SEN3321	putative membrane protein
SEN3331	putative ferrous iron transport protein
SEN3332	ferrous iron transport protein B
SEN3333	conserved hypothetical protein
SEN3342	conserved hypothetical protein
SEN3343	conserved hypothetical protein (homologue of DnaJ: DNA damage inducible protein)
SEN3356	putative dihydrodipicolinate synthetase
SEN3357	putative IclR-family transcriptional regulator
SEN3363	aspartate-semialdehyde dehydrogenase
SEN3370	putative kinase/trancriptional regulatory protein
SEN3371	conserved hypothetical protein
SEN3372	putative membrane protein
SEN3391	RNA polymerase sigma-32 factor
SEN3394	cell division protein
SEN3401	conserved hypothetical protein
SEN3421	L-asparginase
SEN3422	anaerobic C4 dicarboxylate membrane transport protein
SEN3423	putative carbohydrate kinase
SEN3424	putative phosphosugar-binding protein
SEN3428	phage-like lysozyme
SEN3429	hypothetical luxR-family transcriptional regulator
SEN3444	conserved hypothetical protein
SEN3449	putative amino acid permease
SEN3460	fimbrial protein (LpfD)
SEN3462	fimbrial chaperone protein (LpfB)
SEN3463	long polar fimbria protein A (LpfA)
SEN3474	putative acetyltransferase
SEN3476	putative acetyltransferase
SEN3477	glycine-tRNA synthetase, beta subunit
SEN3478	glycine-tRNA synthetase, alpha subunit
SEN3479	putative lipoprotein
SEN3480	putative membrane protein
SEN3481	putative membrane protein
SEN3484	xylose operon regulatory protein
SEN3491	conserved hypothetical protein
SEN3492	hypothetical protein
SEN3493	putative membrane protein
SEN3494	putative membrane protein
SEN3511	conserved hypothetical protein
SEN3512	putative lipoprotein
SEN3520	probable glucarate transporter
SEN3521	serine acetyltransferase
SEN3522	glycerol-3-phosphate dehydrogenase
SEN3529	putative glycosyltransferase
SEN3535	O-antigen ligase
SEN3536	lipopolysaccharide 1,2-n-acetylglucosaminetransferase (ec 2.4.1.56). lipopolysaccharide 1,2-n-acetylglucosaminetransferase (ec 2.4.1.56)
SEN3537	lipopolysaccharide core biosynthesis protein RfaZ
SEN3539	lipopolysaccharide 1,2-glucosyltransferase
SEN3540	lipopolysaccharide 1,3-galactosyltransferase
SEN3541	lipopolysaccharide 1,6-galactosyltransferase
SEN3542	conserved hypothetical protein
SEN3543	lipopolysaccharide core biosynthesis protein
SEN3544	lipopolysaccharide core biosynthesis protein
SEN3546	3-deoxy-D-manno-octulosonic-acid transferase
SEN3547	phosphopantetheine adenylyltransferase
SEN3550	50S ribosomal subunit protein L28
SEN3552	conserved hypothetical protein
SEN3553	deoxyuridine 5'-triphosphate nucleotidohydrolase
SEN3560	putative membrane protein
SEN3562	5'guanylate kinase
SEN3564	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase; CG Site No. 156
SEN3572	hypothetical protein
SEN3579	conserved hypothetical protein
SEN3581	putative exported protein
SEN3582	putative transcriptional regulator (MarT)
SEN3583	putative hydrolase
SEN3584	putative inner membrane protein
SEN3586	Mg(2+) transport ATPase protein C
SEN3587	putative membrane protein
SEN3608	probable permease
SEN3609	putative carbohydrate kinase
SEN3634	heme exporter protein B1
SEN3636	probable cytochrome c peroxidase
SEN3637	TorD protein
SEN3649	putative membrane transport protein
SEN3652	DNA gyrase subunit B
SEN3654	DNA polymerase III beta-subunit
SEN3655	chromosomal replication initiator protein
SEN3656	50s ribosomal protein l34
SEN3657	RNase P, protein component
SEN3659	putative membrane protein
SEN3666	putative hydrolase
SEN3673	putative shikimate 5-dehydrogenase
SEN3675	glucosamine--fructose-6-phosphate aminotransferase
SEN3676	UDP-N-acetylglucosamine pyrophosphorylase
SEN3695	high affinity ribose transport protein RbsD
SEN3709	branched-chain amino-acid aminotransferase
SEN3710	dihydroxyacid dehydratase
SEN3717	putative membrane transport protein (fragment)
SEN3718	ATP-dependent DNA helicase
SEN3722	transcription termination factor
SEN3723	putative undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase
SEN3724	lipopolysaccharide biosynthesis protein
SEN3725	UDP-N-acetyl-D-glucosamine 2-epimerase
SEN3733	probable 4-alpha-l-fucosyltransferase
SEN3738	uroporphyrinogen III synthase
SEN3739	porphobilinogen deaminase
SEN3744	diaminopimelate epimerase
SEN3750	chloramphenicol-sensitive protein RarD
SEN3751	conserved hypothetical protein
SEN3752	detergent-resistant phospholipase A
SEN3765	ubiquinone/menaquinone biosynthesis methyltransferase UbiE
SEN3767	ubiquinone biosynthesis protein
SEN3773	conserved hypothetical protein
SEN3774	flavin reductase
SEN3775	possible transferase
SEN3781	protoporphyrinogen oxidase
SEN3788	DNA polymerase I
SEN3789	ATP/GTP-binding protein
SEN3795	glutamine synthetase
SEN3797	conserved hypothetical protein
SEN3798	hypothetical protein
SEN3799	putative coproporphyrinogen III oxidase
SEN3800	hypothetical protein
SEN3801	hypothetical protein
SEN3802	hypothetical protein
SEN3803	conserved hypothetical protein
SEN3819	conserved hypothetical protein
SEN3830	putative lipoprotein
SEN3842	conserved hypothetical protein
SEN3855	putative sugar transport protein
SEN3866	putative ABC transporter, membrane component
SEN3867	putative ABC transport protein, solute-binding component
SEN3868	putative aldolase
SEN3869	conserved hypothetical protein
SEN3885	primosomal protein replication factor
SEN3888	putative arylsulfate sulfotransferase
SEN3889	repressor of the methionine regulon
SEN3892	inner membrane protein
SEN3893	inner membrane protein
SEN3901	conserved hypothetical protein
SEN3910	PTS system, component IIB
SEN3913	putative membrane protein
SEN3922	putative membrane protein
SEN3923	tRNA (uracil-5)-methyltransferase
SEN3925	glutamate racemase
SEN3926	UDP-N-acetylenolpyruvoylglucosamine reductase
SEN3927	bifunctional protein: biotin operon repressor and biotin-[acetyl-CoA carboxylase
SEN3928	pantothenate kinase
SEN3931	preprotein translocase SecE subunit
SEN3932	transcription antitermination protein
SEN3933	50S ribosomal subunit protein L11
SEN3935	50S ribosomal subunit protein L10
SEN3936	50S ribosomal subunit protein L7/L12
SEN3937	DNA-directed RNA polymerase, beta-subunit
SEN3938	DNA-directed RNA polymerase, beta'-subunit
SEN3941	conserved hypothetical protein
SEN3943	conserved hypothetical protein
SEN3953	uroporphyrinogen decarboxylase
SEN3974	hypothetical protein
SEN3978	deoR family regulatory protein
SEN3979	conserved hypothetical protein
SEN3982	phage-related protein
SEN3985	putative regulatory protein
SEN3988	putative exported protein
SEN4003	4-hydroxybenzoate octaprenyl transferase
SEN4004	glycerol-3-phosphate acyltransferase
SEN4015	replicative DNA helicase
SEN4025	single-strand DNA-binding protein
SEN4027	putative integral membrane protein
SEN4030	large repetitive protein
SEN4033	putative membrane protein
SEN4034	putative exported protein
SEN4064	putative membrane protein
SEN4066	putative AraC family regulatory protein
SEN4074	hypothetical protein
SEN4075	two-component response regulator
SEN4082	putative membrane protein
SEN4087	conserved hypothetical protein
SEN4090	nonspecific acid phosphatase precursor
SEN4091	putative exported protein
SEN4099	GroES protein
SEN4100	GroEL protein
SEN4102	hypothetical protein
SEN4105	entericidin A precursor
SEN4106	entericidin B precursor
SEN4107	transcriptional regulatory protein
SEN4115	putative amino acid permease
SEN4118	phosphatidylserine decarboxylase proenzyme
SEN4119	putative membrane protein
SEN4120	oligoribonuclease
SEN4124	conserved hypothetical protein
SEN4137	conserved hypothetical protein
SEN4140	putative membrane protein
SEN4159	30s ribosomal subunit protein S18
SEN4165	putative exported protein
SEN4166	putative lipoprotein
SEN4180	conserved hypothetical protein
SEN4181	putative sugar transporter
SEN4182	hypothetical protein
SEN4183	inorganic pyrophosphatase
SEN4188	soluble cytochrome b562
SEN4218	arginine deiminase
SEN4219	conserved hypothetical protein
SEN4226	putative acetyltransferase
SEN4227	putative innner membrane protein
SEN4228	valyl-tRNA synthetase
SEN4232	putative inner membrane protein
SEN4233	putative inner membrane protein
SEN4236	gluconate 5-dehydrogenase (ec 1.1.1.69) (5-keto-d-gluconate 5-reductase)
SEN4237	l-idonate 5-dehydrogenase (ec 1.1.1.264)
SEN4238	thermosensitive gluconokinase (ec 2.7.1.12) (gluconate kinase 1)
SEN4243	cytotoxic protein ccdb (letb protein) (protein g) (lynb)
SEN4247	fimbrial protein precursor
SEN4252	putative gerE-family regulatory protein
SEN4260	conserved hypothetical protein
SEN4262	hypothetical protein
SEN4263	hypothetical protein
SEN4264	hypothetical protein
SEN4265	putative exported protein
SEN4269	hypothetical protein
SEN4270	conserved hypothetical protein
SEN4281	hypothetical protein
SEN4282	conserved hypothetical protein
SEN4283	conserved hypothetical protein
SEN4285	putative Type I restriction-modification system specificity subunit M
SEN4289	hypothetical protein
SEN4291	putative Type I restriction-modification system methyltransferase
SEN4292	putative Type I restriction enzyme
SEN4300	PTS transport system, IIA component
SEN4301	PTS transport system, IIB component
SEN4302	PTS transport system, IIC component
SEN4303	PTS transport system, IID component
SEN4304	putative sugar isomerase
SEN4305	putative sugar isomerase
SEN4308	probable DNA replication protein
SEN4309	primosomal protein I
SEN4312	conserved hypothetical regulatory protein
SEN4313	conserved hypothetical regulatory protein
SEN4347	putative fimbrial subunit
SEN4348	putative fimbrial subunit
SEN4349	Outer membrane fimbrial usher protein
SEN4350	putative fimbrial chaperone protein
SEN4351	putative fimbrial protein
SEN4352	putative transcriptional regulator protein
SEN4353	putative exported protein
SL1344_0001	thr operon leader peptide
SL1344_0012	Chaperone protein dnaK
SL1344_0021	fimbrial subunit
SL1344_0022	fimbrial chaperone
SL1344_0030	hypothetical membrane protein
SL1344_0031	hypothetical transcriptional regulator (lysR family)
SL1344_0032	hypothetical membrane protein
SL1344_0033	possible sulfatase
SL1344_0038	conserved hypothetical protein
SL1344_0039	possible sulfatase
SL1344_0044	30S ribosomal protein S20
SL1344_0046	riboflavin biosynthesis protein RibF
SL1344_0047	isoleucyl-tRNA synthetase
SL1344_0048	lipoprotein signal peptidase
SL1344_0050	LytB protein
SL1344_0053	transcriptional regulatory protein
SL1344_0054	two-component sensor kinase
SL1344_0055	oxaloacetate decarboxylase beta chain (ec 4.1.1.3)
SL1344_0056	oxaloacetate decarboxylase alpha chain
SL1344_0065	dihydrodipicolinate reductase
SL1344_0069	transcriptional activator CaiF
SL1344_0081	hypothetical lipoprotein
SL1344_0082	probable secreted protein
SL1344_0083	probable secreted protein
SL1344_0083A	hypothetical membrane protein (pseudogene)
SL1344_0084	hypothetical sulfatase
SL1344_0088	dihydrofolate reductase type I
SL1344_0094	organic solvent tolerance protein precursor
SL1344_0099	probable secreted protein
SL1344_0099A	hypothetical inner membrane protein (pseudogene)
SL1344_0114	leu operon leader peptide
SL1344_0115	probable activator protein in leuABCD operon
SL1344_0121	cell division protein FtsL
SL1344_0122	penicillin-binding protein 3 precursor
SL1344_0123	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-di a minopimelate ligase
SL1344_0124	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diam i nopimelate--D-alan alanyl ligase
SL1344_0125	Phospho-N-acetylmuramoyl-pentapeptide-transfera se
SL1344_0126	UDP-N-acetylmuramoylalanine--D-glutamate ligase
SL1344_0127	cell division protein FtsW
SL1344_0128	UDP-N-acetylglucosamine--N-acetylmuramyl-
SL1344_0129	UDP-N-acetylmuramate--L-alanine ligase
SL1344_0131	cell division protein FtsQ
SL1344_0132	cell division protein FtsA
SL1344_0133	cell division protein FtsZ
SL1344_0134	UDP-3-O-[3-hydroxymyristoyl
SL1344_0135	conserved hypothetical protein
SL1344_0136	preprotein translocase SecA subunit
SL1344_0140	Dephospho-CoA kinase
SL1344_0143	competence gene-DNA binding and transport
SL1344_0144	competence gene-DNA binding and transport
SL1344_0145	nicotinate-nucleotide pyrophosphorylase
SL1344_0146	AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase)
SL1344_0152	pyruvate dehydrogenase E1 component
SL1344_0153	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
SL1344_0154	dihydrolipoamide dehydrogenase
SL1344_0160	HNH endonuclease
SL1344_0167	Spermidine synthase
SL1344_0169	possible multicopper oxidase precursor
SL1344_0170	glucose dehydrogenase
SL1344_0172	carbonic anhydrase
SL1344_0178	fimbrial subunit
SL1344_0184	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
SL1344_0203	Glutamate-1-semialdehyde 2,1-aminomutase
SL1344_0205	conserved hypothetical protein
SL1344_0208	MTA/SAH nucleosidase
SL1344_0209	Deoxyguanosinetriphosphate triphosphohydrolase
SL1344_0214	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
SL1344_0215	[Protein-PII
SL1344_0216	methionine aminopeptidase
SL1344_0217	30S ribosomal protein S2
SL1344_0218	Elongation factor Ts
SL1344_0219	Uridylate kinase
SL1344_0220	Ribosome recycling factor
SL1344_0221	1-deoxy-D-xylulose 5-phosphate reductoisomerase
SL1344_0222	undecaprenyl pyrophosphate synthetase
SL1344_0223	phosphatidate cytidylyltransferase
SL1344_0225	outer membrane protein precursor
SL1344_0227	UDP-3-O-[3-hydroxymyristoyl
SL1344_0228	(3R)-hydroxymyristol acyl carrier protein dehydrase
SL1344_0229	Acyl-[acyl-carrier-protein
SL1344_0230	Lipid-A-disaccharide synthase
SL1344_0232	DNA polymerase III, alpha chain
SL1344_0233	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
SL1344_0237	cell cycle protein MesJ
SL1344_0243	prolyl-tRNA synthetase
SL1344_0245	RcsF protein
SL1344_0250	hypothetical oxidoreductase
SL1344_0259	DNA polymerase III epsilon subunit
SL1344_0279	conserved hypothetical protein (SPI-6 associated)
SL1344_0288	conserved hypothetical protein (SPI-6 associated)
SL1344_0291	hypothetical protein
SL1344_0293	transposase (fragment)
SL1344_0296	salmonella atypical fimbria chaperone
SL1344_0301	conserved hypothetical protein (SPI-6 associated)
SL1344_0303	probable secreted protein (SPI-6 associated)
SL1344_0309	DNA polymerase IV
SL1344_0334	fimbrial chaperone protein
SL1344_0338	hypothetical rtn protein
SL1344_0343	probable secreted protein
SL1344_0354	hypothetical protein
SL1344_0367	delta-aminolevulinic acid dehydratase
SL1344_0369	conserved hypothetical protein
SL1344_0378	conserved hypothetical protein
SL1344_0402	protein-export membrane protein SecD
SL1344_0403	protein-export membrane protein SecF
SL1344_0410	riboflavin biosynthesis protein RibD
SL1344_0411	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
SL1344_0412	N utilization substance protein B
SL1344_0413	thiamine-monophosphate kinase
SL1344_0416	1-deoxyxylulose-5-phosphate synthase
SL1344_0417	geranyltranstransferase
SL1344_0442	ATP-dependent clp protease proteolytic subunit
SL1344_0443	ATP-dependent clp protease ATP-binding subunit ClpX
SL1344_0467	conserved hypothetical protein
SL1344_0477	DNA polymerase III subunits gamma and tau
SL1344_0481	adenylate kinase
SL1344_0482	ferrochelatase
SL1344_0511	hydroxypyruvate isomerase
SL1344_0513	probable metabolite transport protein
SL1344_0528	conserved hypothetical protein
SL1344_0530	cysteinyl-tRNA synthetase
SL1344_0535	FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase; methenyltetrahydrofolate cyclohydrolase
SL1344_0547	hypothetical membrane protein
SL1344_0549	bactoprenol-linked glucose translocase
SL1344_0553	hypothetical secreted protein
SL1344_0577	responsible for the production of very long (VL) modal length LPS Oag
SL1344_0594	hypothetical lysR-family transcriptional regulator
SL1344_0621	lipoic acid synthetase
SL1344_0623	lipoate-protein ligase B (lipoate biosynthesis protein B)
SL1344_0624	conserved hypothetical protein
SL1344_0627	rod shape-determining protein RodA
SL1344_0628	penicillin-binding protein 2
SL1344_0633	conserved hypothetical protein
SL1344_0634	DNA polymerase III, delta subunit
SL1344_0635	rare lipoprotein B precursor
SL1344_0636	leucyl-tRNA synthetase
SL1344_0642	conserved hypothetical protein
SL1344_0655	apolipoprotein N-acyltransferase
SL1344_0657	conserved hypothetical protein
SL1344_0660	hypothetical monooxygenase
SL1344_0668	glutaminyl-tRNA synthetase
SL1344_0676	flavodoxin 1
SL1344_0702	hypothetical glycosyl transferase
SL1344_0703	galactosyltransferase
SL1344_0704	O-antigen export system, permease protein
SL1344_0705	ABC transporter domain protein
SL1344_0706	hypothetical glycosyltransferase, cell wall biogenesis
SL1344_0707	hypothetical glycosyltransferase, cell wall biogenesis
SL1344_0708	hypothetical glycosyl transferase
SL1344_0709	conserved hypothetical cytoplasmic protein
SL1344_0722	cytochrome d ubiquinol oxidase subunit I
SL1344_0723	cytochrome d ubiquinol oxidase subunit II
SL1344_0724	hypothetical membrane protein
SL1344_0736	hypothetical exported protein
SL1344_0740	LysR-family transcriptional regulator
SL1344_0742	hypothetical cation transporter
SL1344_0743	oxaloacetate decarboxylase gamma chain (ec 4.1.1.3)
SL1344_0744	oxaloacetate decarboxylase alpha chain (ec 4.1.1.3)
SL1344_0745	oxaloacetate decarboxylase beta chain (ec 4.1.1.3)
SL1344_0769	conserved hypothetical protein
SL1344_0783	hypothetical membrane protein
SL1344_0784	hypothetical membrane protein
SL1344_0786	hypothetical inner membrane protein
SL1344_0815	conserved hypothetical protein
SL1344_0830	conserved hypothetical protein
SL1344_0831	hypothetical electron transfer flavoprotein (beta subunit)
SL1344_0833	hypothetical acyl-CoA dehydrogenase
SL1344_0834	hypothetical flavoprotein
SL1344_0836	hypothetical inner membrane protein
SL1344_0861	hypothetical phosphotransferase enzyme II, B component
SL1344_0879	hypothetical virK protein
SL1344_0885	transposase for the IS1541 insertion element
SL1344_0891	initiation factor IF-1
SL1344_0894	transport ATP-binding protein CydC
SL1344_0895	transport ATP-binding protein CydD
SL1344_0898	cell division protein FtsK
SL1344_0899	outer membrane lipoprotein carrier protein precursor
SL1344_0901	seryl-tRNA synthetase
SL1344_0904	anaerobic dimethyl sulfoxide reductase chain C
SL1344_0917	cytidylate kinase
SL1344_0918	30S ribosomal protein S1
SL1344_0921	probable transport ATP-binding protein MsbA
SL1344_0922	tetraacyldisaccharide 4'-kinase
SL1344_0925	3-deoxy-manno-octulosonate cytidylyltransferase
SL1344_0929	killing factor KicB
SL1344_0930	KicA protein
SL1344_0931	cell division protein
SL1344_0937	asparaginyl-tRNA synthetase
SL1344_0950	predicted bacteriophage protein
SL1344_0957	DNA Damage Inducible Protein
SL1344_0958	Gifsy-2 bacteriophage protein
SL1344_0964	hypothetical bacteriophage lipoprotein
SL1344_0965	hypothetical bacteriophage encoded virulence protein
SL1344_0965A	Gifsy-2 bacteriophage holin
SL1344_0971	predicted bacteriophage protein
SL1344_0972	ATP Dependent clp Protease
SL1344_0973	predicted bacteriophage protein
SL1344_0974	predicted bacteriophage protein
SL1344_0975	predicted bacteriophage protein
SL1344_0976	predicted bacteriophage protein
SL1344_0977	Tail Protein
SL1344_0978	predicted bacteriophage protein
SL1344_0979	predicted bacteriophage protein
SL1344_0980	Tape Measure
SL1344_0981	Minor Tail Component
SL1344_0982	predicted bacteriophage protein
SL1344_0983	bacteriophage encoded superoxide dismutase [cu-zn
SL1344_0985	hypothetical bacteriophage minor tail protein
SL1344_0986	Tail Assembly Protein
SL1344_0987	hypothetical Host Specificity Protein
SL1344_0989	bacteriophage tail fibre assembly protein
SL1344_0995	bacteriophage encoded virulence factor
SL1344_1007	D-3-hydroxydecanoyl-(acyl carrier-protein)
SL1344_1024	hypothetical protein in helD-serT intergenic region
SL1344_1027	Type III secretion system effector protein, homologous to pipB2, required for colonisation in chicks and for inducing the inflammatory response in the bovine ligated ileal loop model of infection
SL1344_1029	cell invasion protein
SL1344_1030	Type III secretion system effector protein. Activates Cdc42, RhoG, AktA and chloride secretion through its inositol phosphatase activity and disrupts tight junctions
SL1344_1066	hypothetical sodium/glucose cotransporter
SL1344_1067	conserved hypothetical protein
SL1344_1069	hypothetical secreted protein
SL1344_1070	hypothetical transporter
SL1344_1081	major curlin subunit precursor
SL1344_1082	curli prooduction protein
SL1344_1086	Glucans biosynthesis protein C
SL1344_1092	lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-) (heat shock protein)
SL1344_1098	conserved hypothetical protein
SL1344_1107	virulence factor MviN
SL1344_1122	ribonuclease E
SL1344_1130	3-oxoacyl-[acyl-carrier-protein
SL1344_1131	malonyl CoA-acyl carrier protein transacylase
SL1344_1132	3-oxoacyl-[acyl-carrier protein
SL1344_1133	acyl carrier protein
SL1344_1137	Thymidylate kinase
SL1344_1138	DNA polymerase III, delta' subunit
SL1344_1154	ABC transporter integral membrane subunit
SL1344_1155	ABC transporter ATP-binding subunit
SL1344_1156	ABC transporter integral membrane subunit
SL1344_1166	hypothetical transposase
SL1344_1170	adenylosuccinate lyase
SL1344_1172	Probable tRNA
SL1344_1181	hypothetical lipoprotein
SL1344_1182	cold shock protein (CspH)
SL1344_1185	hypothetical secreted protein
SL1344_1186	hypothetical protein
SL1344_1189	hypothetical cytochrome
SL1344_1190	hypothetical lipoprotein
SL1344_1200	hypothetical regulatory protein
SL1344_1225	glyceraldehyde 3-phosphate dehydrogenase A
SL1344_1245	NH3-dependent NAD synthetase
SL1344_1266	O-antigen polymerase
SL1344_1267	Threonyl-tRNA synthetase
SL1344_1268	translation initiation factor IF-3
SL1344_1269	50S ribosomal protein L35. Chloroplast 50S ribosomal protein L35.
SL1344_1270	50S ribosomal protein L20. Chloroplast 50S ribosomal protein L20.
SL1344_1271	phenylalanyl-tRNA synthetase alpha chain
SL1344_1272	Phenylalanyl-tRNA synthetase beta chain
SL1344_1285	ferredoxin-like protein
SL1344_1301	conserved hypothetical protein
SL1344_1329	hypothetical pathogenicity island protein
SL1344_1331	Type III secretion system chaperone protein
SL1344_1335	Type III secretion system apparatus protein
SL1344_1337	Type III secretion system chaperone protein
SL1344_1338	Type III secretion system effector protein-regulates and maintains the SCV
SL1344_1342	Type III secretion system apparatus
SL1344_1344	hypothetical pathogenicity island protein
SL1344_1345	Type III secretion system apparatus
SL1344_1346	Type III secretion system apparatus
SL1344_1351	Type III secretion system apparatus
SL1344_1352	Type III secretion system protein
SL1344_1355	Type III secretion system apparatus
SL1344_1356	Type III secretion system protein
SL1344_1358	riboflavin synthase alpha chain
SL1344_1381	tyrosyl-tRNA synthetase
SL1344_1385	endonuclease III
SL1344_1432	spermidine N1-acetyltransferase
SL1344_1444	conserved hypothetical protein
SL1344_1460	hydrogenase nickel incorporation protein (HypA)
SL1344_1470	hypothetical regulatory protein
SL1344_1472	membrane transport protein
SL1344_1480	plasmid stability protein
SL1344_1484	conserved hypothetical protein
SL1344_1492	hypothetical secreted protein
SL1344_1494	conserved hypothetical protein
SL1344_1495	30S ribosomal protein S22
SL1344_1502	hypothetical integral membrane protein
SL1344_1519	hypothetical regulatory protein
SL1344_1527	hypothetical inner membrane protein
SL1344_1532	Type III secretion system effector protein
SL1344_1543	hypothetical phosphotransferase enzyme
SL1344_1550	hypothetical L-lactate oxidase
SL1344_1551	hypothetical exported protein
SL1344_1560	hypothetical membrane protein
SL1344_1561	Type III secretion system effector protein (SseJ)-antagonises the activity of SifA
SL1344_1562	hypothetical membrane protein
SL1344_1563	hypothetical periplasmic amino acid-binding protein
SL1344_1574	hypothetical secreted protein
SL1344_1583	hypothetical multidrug transporter
SL1344_1588	hypothetical chemo-receptor protein
SL1344_1600	hypothetical lipoprotein
