EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
CP007446.1	2.5MB	2527978	520296	0.41	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Snodgrassella.	Snodgrassella alvi wkB2	Snodgrassella alvi wkB2, complete genome.
CP007447.1	3.1MB	3052055	497948	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus	Staphylococcus aureus strain XN108, complete genome.
CP007448.1	4.8MB	4771331	1138552	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Yersinia.	Yersinia enterocolitica LC20	Yersinia enterocolitica LC20, complete genome.
CP007451.1	5.1MB	5132075	1059026	0.41	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prolixibacteraceae;Draconibacterium.	Draconibacterium orientale	Draconibacterium orientale strain FH5T, complete genome.
CP007452.1	2.2MB	2246262	502449	0.44	Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae;Eubacterium.	Eubacterium acidaminophilum DSM 3953	Eubacterium acidaminophilum DSM 3953, complete genome.
CP007454.1	2.8MB	2764699	452982	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus	Staphylococcus aureus strain 502A, complete genome.
CP007456.1	2.4MB	2370978	661934	0.56	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium kashiwanohense PV20-2	Bifidobacterium kashiwanohense PV20-2, complete genome.
CP007457.1	2.0MB	2032698	641036	0.63	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium pseudolongum PV8-2	Bifidobacterium pseudolongum PV8-2, complete genome.
CP007463.1	4.7MB	4685736	1209002	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120929	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120929
CP007466.1	4.7MB	4685836	1210774	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084644	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084644
CP007467.1	4.7MB	4685836	1204005	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084824	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084824
CP007468.1	4.7MB	4685839	1210657	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094177	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094177
CP007469.1	4.7MB	4685835	1210661	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094301	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094301
CP007473.1	1.2MB	1172721	176694	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia chaffeensis str. Heartland	Ehrlichia chaffeensis str. Heartland, complete genome.
CP007474.1	1.1MB	1148904	170523	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia sp. HF	Ehrlichia sp. HF, complete genome.
CP007475.1	1.2MB	1176890	174364	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia chaffeensis str. Jax	Ehrlichia chaffeensis str. Jax, complete genome.
CP007476.1	1.2MB	1176202	174162	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia chaffeensis str. Liberty	Ehrlichia chaffeensis str. Liberty, complete genome.
CP007477.1	1.2MB	1175197	176951	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia chaffeensis str. Osceola	Ehrlichia chaffeensis str. Osceola, complete genome.
CP007478.1	1.2MB	1173884	173675	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia chaffeensis str. Saint Vincent	Ehrlichia chaffeensis str. Saint Vincent, complete genome.
CP007479.1	1.2MB	1174357	173773	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia chaffeensis str. Wakulla	Ehrlichia chaffeensis str. Wakulla, complete genome.
CP007480.1	1.2MB	1170935	176446	0.30	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Ehrlichia.	Ehrlichia chaffeensis str. West Paces	Ehrlichia chaffeensis str. West Paces, complete genome.
CP007481.1	0.9MB	884232	183939	0.42	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Neorickettsia.	Neorickettsia helminthoeca str. Oregon	Neorickettsia helminthoeca str. Oregon, complete genome.
CP007482.1	1.8MB	1838701	326335	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae 138P	Streptococcus agalactiae 138P, complete genome.
CP007483.1	4.7MB	4731586	1233696	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Anatum str.	Salmonella enterica subsp. enterica serovar Anatum str.
CP007490.1	1.4MB	1430433	371860	0.52	Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Luna cluster;Luna-1 subcluster; Rhodoluna.	Rhodoluna lacicola	Candidatus Rhodoluna lacicola strain MWH-Ta8, complete genome.
CP007492.1	2.9MB	2904662	548914	0.38	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	Listeria monocytogenes	Listeria monocytogenes strain NE dc2014, complete genome.
CP007494.1	3.7MB	3699674	1157119	0.63	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Bordetella.	Bordetella holmesii ATCC 51541	Bordetella holmesii ATCC 51541, complete genome.
CP007495.1	3.7MB	3697138	1156323	0.63	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Bordetella.	Bordetella holmesii 44057	Bordetella holmesii 44057, complete genome.
CP007496.1	0.7MB	705138	156746	0.44	Bacteria; Candidatus Saccharibacteria.	Candidatus Saccharibacteria oral taxon TM7x	Candidatus Saccharibacteria oral taxon TM7x, complete genome.
CP007499.1	3.0MB	2955646	487330	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus	Staphylococcus aureus strain 2395 USA500, complete genome.
CP007501.1	2.0MB	2026292	458888	0.45	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Polynucleobacter.	Polynucleobacter necessarius subsp. asymbioticus	Polynucleobacter necessarius subsp. asymbioticus strain MWH-MoK4, complete
CP007502.1	2.1MB	2105503	461592	0.44	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Aggregatibacter.	Aggregatibacter actinomycetemcomitans HK1651	Aggregatibacter actinomycetemcomitans HK1651, complete genome.
CP007505.1	4.9MB	4864410	1268958	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19,
CP007507.1	4.7MB	4678926	1218857	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis	Salmonella enterica subsp. enterica serovar Enteritidis strain Durban,
CP007509.1	4.7MB	4725662	1473713	0.62	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas stutzeri	Pseudomonas stutzeri strain 19SMN4, complete genome.
CP007511.1	4.4MB	4383480	1416899	0.65	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas balearica DSM 6083	Pseudomonas balearica DSM 6083, complete genome.
CP007512.1	5.3MB	5295783	929313	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus bombysepticus str. Wang	Bacillus bombysepticus str. Wang, complete genome.
CP007514.1	2.9MB	2875491	963137	0.67	Bacteria; Actinobacteria; Rubrobacteria; Rubrobacterales; Rubrobacteraceae;Rubrobacter.	Rubrobacter radiotolerans	Rubrobacter radiotolerans strain RSPS-4, complete genome.
CP007518.1	4.8MB	4796281	1475917	0.62	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;Aeromonadaceae; Aeromonas.	Aeromonas hydrophila YL17	Aeromonas hydrophila YL17, complete genome.
CP007519.1	2.3MB	2338390	689634	0.60	Bacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Trueperella.	Trueperella pyogenes	Trueperella pyogenes strain TP6375, complete genome.
CP007522.1	1.9MB	1946899	587850	0.60	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium animalis subsp. lactis KLDS2.0603	Bifidobacterium animalis subsp. lactis KLDS2.0603, complete genome.
CP007523.1	4.8MB	4769471	1245502	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2011K-0870	Salmonella enterica subsp. enterica serovar Typhimurium str. CDC
CP007524.1	2.2MB	2188020	567192	0.52	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria meningitidis	Neisseria meningitidis strain 510612, complete genome.
CP007528.1	4.7MB	4679662	1222486	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968	Salmonella enterica subsp. enterica serovar Enteritidis str.
CP007530.1	4.7MB	4694375	1223682	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20,
CP007531.1	4.7MB	4706101	1227081	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Anatum str. ATCC BAA-1592	Salmonella enterica subsp. enterica serovar Anatum str. ATCC BAA-1592,
CP007532.1	4.5MB	4547600	1188683	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640	Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640,
CP007533.1	4.6MB	4603849	1203155	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Bredeney str. CFSAN001080	Salmonella enterica subsp. enterica serovar Bredeney str. CFSAN001080,
CP007534.1	4.7MB	4737447	1236328	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Abony str. 0014	Salmonella enterica subsp. enterica serovar Abony str. 0014, complete
CP007539.1	2.8MB	2823087	466427	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus	Staphylococcus aureus strain NRS 100, complete genome.
CP007540.1	4.5MB	4488371	1175493	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Montevideo str.	Salmonella enterica subsp. enterica serovar Montevideo str.
CP007541.1	0.7MB	656901	121706	0.35	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae;Coxiella.	Coxiella endosymbiont of Amblyomma americanum	Coxiella endosymbiont of Amblyomma americanum, complete genome.
CP007542.1	3.5MB	3485441	833192	0.48	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Synechocystis.	Synechocystis sp. PCC 6714	Synechocystis sp. PCC 6714, complete genome.
CP007546.1	4.6MB	4561905	1280677	0.56	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex.	Enterobacter asburiae L1	Enterobacter asburiae L1, complete genome.
CP007549.1	3.8MB	3846504	751794	0.39	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Moraxellaceae; Acinetobacter;	Acinetobacter baumannii AC12	UNVERIFIED: Acinetobacter baumannii AC12 genome.
CP007557.1	5.1MB	5099034	1325337	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Citrobacter; Citrobacter freundii complex.	Citrobacter freundii CFNIH1	Citrobacter freundii CFNIH1, complete genome.
CP007559.1	4.8MB	4790387	1248623	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Newport str. CDC 2010K-2159	Salmonella enterica subsp. enterica serovar Newport str. CDC 2010K-2159,
CP007563.1	0.4MB	357461	50790	0.26	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales;Halomonadaceae; Zymobacter group; whitefly endosymbionts;	Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)	Candidatus Portiera aleyrodidarum MED (Bemisia tabaci) strain BT-Q,
CP007564.1	0.9MB	902487	128938	0.28	Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella.	Borrelia garinii SZ	Borrelia garinii SZ, complete genome.
CP007565.1	1.8MB	1838126	326210	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae	Streptococcus agalactiae strain 138spar, complete genome.
CP007566.1	5.0MB	5023861	1529612	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;Aeromonadaceae; Aeromonas.	Aeromonas hydrophila AL09-71	Aeromonas hydrophila AL09-71, complete genome.
CP007567.1	4.8MB	4777154	1444232	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;Aeromonadaceae; Aeromonas.	Aeromonas media WS	Aeromonas media WS, complete genome.
CP007570.1	2.2MB	2243708	404551	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae	Streptococcus agalactiae strain GBS1-NY, complete genome.
CP007571.1	2.2MB	2214297	407713	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae	Streptococcus agalactiae strain GBS2-NM, complete genome.
CP007572.1	2.2MB	2231475	401355	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae	Streptococcus agalactiae strain GBS6, complete genome.
CP007573.1	2.0MB	2036353	396978	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus; Streptococcus anginosus group.	Streptococcus anginosus	Streptococcus anginosus strain SA1, complete genome.
CP007574.1	9.4MB	9360281	3385612	0.72	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae;Streptomyces.	Streptomyces albulus	Streptomyces albulus strain NK660, complete genome.
CP007576.1	5.0MB	5023829	1529612	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;Aeromonadaceae; Aeromonas.	Aeromonas hydrophila pc104A	Aeromonas hydrophila pc104A, complete genome.
CP007577.1	3.8MB	3826505	739026	0.39	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Moraxellaceae; Acinetobacter;	Acinetobacter baumannii AC30	Acinetobacter baumannii AC30, complete genome.
CP007581.1	4.9MB	4933618	1283159	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica subsp. enterica serovar Typhimurium strain 138736,
CP007585.1	0.8MB	778866	112310	0.29	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma flocculare ATCC 27399	Mycoplasma flocculare ATCC 27399, complete genome.
CP007586.1	2.1MB	2070822	378464	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus iniae	Streptococcus iniae strain ISET0901, complete genome.
CP007587.1	2.1MB	2070182	378365	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus iniae	Streptococcus iniae strain ISNO, complete genome.
CP007588.1	1.4MB	1355853	274320	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae;Weissella.	Weissella ceti	Weissella ceti strain WS08, complete genome.
CP007592.1	5.1MB	5104557	1293715	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli O157:H16	Escherichia coli O157:H16 strain Santai, complete genome.
CP007593.1	2.3MB	2287774	454405	0.40	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pneumoniae	Streptococcus pneumoniae strain NT_110_58, complete genome.
CP007598.1	4.7MB	4679081	1218871	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427	Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427,
CP007600.1	2.9MB	2906670	555339	0.38	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	Listeria monocytogenes	Listeria monocytogenes strain CFSAN006122, complete genome.
CP007603.1	1.7MB	1650561	317067	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori J166	Helicobacter pylori J166, complete genome.
CP007604.1	1.6MB	1604233	310439	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori	Helicobacter pylori strain BM013A, complete genome.
CP007605.1	1.7MB	1659060	327850	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori	Helicobacter pylori strain BM012B, complete genome.
CP007606.1	1.6MB	1604212	310434	0.39	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter pylori	Helicobacter pylori strain BM013B, complete genome.
CP007607.1	5.6MB	5607837	971066	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacillus thuringiensis serovar kurstaki str. YBT-1520, complete genome.
CP007618.1	5.2MB	5236981	932036	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus anthracis	Bacillus anthracis strain 2000031021, complete genome.
CP007619.1	5.7MB	5729085	1164477	0.42	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae;Bacteroides.	Bacteroides dorei	Bacteroides dorei isolate HS1_L_1_B_010, complete genome.
CP007620.1	6.5MB	6484062	2024861	0.62	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas putida	Pseudomonas putida strain DLL-E4, complete genome.
CP007626.1	5.2MB	5228024	931380	0.36	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus mycoides	Bacillus mycoides strain 219298, complete genome.
CP007627.1	2.9MB	2900735	471775	0.32	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Flavobacterium.	Flavobacterium psychrophilum	Flavobacterium psychrophilum strain CSF259-93, complete genome.
CP007628.2	2.0MB	2041142	418577	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus sp. VT 162	Streptococcus sp. VT 162, complete genome.
CP007631.2	2.2MB	2221207	393389	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae	Streptococcus agalactiae strain NGBS061, complete genome.
CP007632.1	2.1MB	2061426	366328	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae	Streptococcus agalactiae strain NGBS572, complete genome.
CP007633.1	1.9MB	1851618	431818	0.47	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Thermotoga sp. RQ7	Thermotoga sp. RQ7, complete genome.
CP007639.1	4.8MB	4751585	1246530	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Choleraesuis	Salmonella enterica subsp. enterica serovar Choleraesuis strain C500,
CP007641.1	4.6MB	4598466	1394098	0.61	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae;Rhizobium/Agrobacterium group; Rhizobium.	Rhizobium etli bv. phaseoli str. IE4803	Rhizobium etli bv. phaseoli str. IE4803, complete genome.
CP007646.1	1.8MB	1836297	304820	0.33	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus salivarius	Lactobacillus salivarius strain JCM1046, complete genome.
CP007656.1	3.8MB	3830427	970368	0.51	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales;Bdellovibrionaceae; Bdellovibrio.	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus strain 109J, complete genome.
CP007659.1	2.8MB	2846320	467593	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus strain H-EMRSA-15, complete genome.
CP007666.1	5.2MB	5229469	919639	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus anthracis str. Vollum	Bacillus anthracis str. Vollum, complete genome.
CP007669.1	1.9MB	1887974	393403	0.42	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Moraxellaceae; Moraxella.	Moraxella catarrhalis	Moraxella catarrhalis strain 25239, complete genome.
CP007690.1	2.9MB	2872916	470305	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus	Staphylococcus aureus strain UA-S391_USA300, complete genome.
CP007711.1	0.6MB	618983	89211	0.29	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Candidatus Mycoplasma girerdii	Candidatus Mycoplasma girerdii strain VCU_M1, complete genome.
CP007712.1	4.0MB	3954354	787713	0.39	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Moraxellaceae; Acinetobacter;	Acinetobacter baumannii LAC-4	Acinetobacter baumannii LAC-4, complete genome.
CP007715.1	2.4MB	2431533	487731	0.40	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Actinobacillus.	Actinobacillus equuli subsp. equuli	Actinobacillus equuli subsp. equuli strain 19392, complete genome.
CP007722.1	3.2MB	3176076	862771	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium glutamicum	Corynebacterium glutamicum strain ATCC 21831, complete genome.
CP007724.1	3.1MB	3145677	854287	0.54	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium glutamicum	Corynebacterium glutamicum strain AR1, complete genome.
CP007726.1	2.3MB	2256647	614605	0.54	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria elongata subsp. glycolytica ATCC 29315	Neisseria elongata subsp. glycolytica ATCC 29315, complete genome.
CP007739.1	3.3MB	3337035	642888	0.39	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus methanolicus MGA3	Bacillus methanolicus MGA3, complete genome.
CP007744.1	5.0MB	5004926	1279428	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Pectobacterium.	Pectobacterium atrosepticum	Pectobacterium atrosepticum strain JG10-08, complete genome.
CP007753.1	1.8MB	1780061	277952	0.31	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	Prochlorococcus sp. MIT 0604	Prochlorococcus sp. MIT 0604, complete genome.
CP007754.1	1.9MB	1929203	337084	0.35	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	Prochlorococcus sp. MIT 0801	Prochlorococcus sp. MIT 0801, complete genome.
CP007757.1	4.1MB	4074048	1071049	0.53	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales;Halomonadaceae; Halomonas.	Halomonas campaniensis	Halomonas campaniensis strain LS21, complete genome.
CP007766.1	1.7MB	1711369	247561	0.29	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter peloridis LMG 23910	Campylobacter peloridis LMG 23910, complete genome.
CP007769.1	1.6MB	1557536	222878	0.28	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter sp. RM16704	Campylobacter sp. RM16704, complete genome.
CP007770.1	1.5MB	1465081	206711	0.28	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter insulaenigrae NCTC 12927	Campylobacter insulaenigrae NCTC 12927, complete genome.
CP007771.1	1.5MB	1502102	224686	0.30	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter lari subsp. concheus LMG 11760	Campylobacter lari subsp. concheus LMG 11760, complete genome.
CP007772.1	1.8MB	1782536	267491	0.30	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter subantarcticus LMG 24374	Campylobacter subantarcticus LMG 24374, complete genome.
CP007773.1	1.9MB	1852995	276236	0.30	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter subantarcticus LMG 24377	Campylobacter subantarcticus LMG 24377, complete genome.
CP007774.1	1.5MB	1517949	217524	0.29	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter volucris LMG 24379	Campylobacter volucris LMG 24379, complete genome.
