Gene	Product	log(ii/essentiality_threshold)														Locus tag														Number of copies of gene in the genome														path_id	path_name
		Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
gmk	guanylate kinase	-2.0634495791	-1.2501336873	-4.5	-4.5	-1.081624608	-4.5	-1.0669840737	-4.5	-1.4297916864	-1.0449376716	-1.6954386883	-4.5	-4.5	-4.5	ENC_02720	BN373_46381	ERS227112_00583	ROD_41681	SL1344_3706	SL3261_3706	STMMW_37291	STM_MW37291	SEN3562	t3778	EC958_4055	NCTC13441_00036	BW25113_3648	b3648	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
guaA	GMP synthase (glutamine-hydrolyzing)	1.9617944617	2.0310470475	0.4396498059	2.0863204837	1.1049546804	1.8152306125	1.6016619868	0.1399673122	0.9008764895	1.6216609696	1.1740858419	1.5673185773	-4.5	4.5	ENC_37610	BN373_34931	ERS227112_00079	ROD_24481	SL1344_2471	SL3261_2471	STMMW_25271	STM_MW25271	SEN2490	t0347	EC958_2814	NCTC13441_01232	BW25113_2507	b2507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
holA	DNA polymerase III, delta subunit	-4.5	-4.5	-1.5769120234	-4.5	-4.5	-1.9396110517	-4.5	-4.5	-1.719487311	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_20700	BN373_12521	ERS227112_03114	ROD_06601	SL1344_0634	SL3261_0634	STMMW_07111	STM_MW07111	SEN0615	t2221	EC958_0759	NCTC13441_03355	BW25113_0640	b0640	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
holB	DNA polymerase III, delta prime subunit	-4.5	-4.5	-1.6136566404	-1.6734854293	-4.5	-0.9295435387	-1.5210699069	-4.5	-4.5	-4.5	-4.5	-1.6156914417	-0.3568020513	-4.5	ENC_15390	BN373_17111	ERS227112_03575	ROD_11611	SL1344_1138	SL3261_1138	STMMW_12101	STM_MW12101	SEN1848	t1719	EC958_1295	NCTC13441_02813	BW25113_1099	b1099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
holC	DNA polymerase III, chi subunit	-0.8144192811	0.8078819414	-4.5	-0.4049521631	1.5422724438	1.1613204379	-0.130104186	-4.5	1.5783937053	0.6239753478	1.6628569495	1.8149259946	-0.2627922671	4.5	ENC_34510	BN373_02811	ERS227112_02146	ROD_33251	SL1344_4406	SL3261_4406	STMMW_44221	STM_MW44221	SEN4229	t4511	EC958_4753	NCTC13441_04189	BW25113_4259	b4259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
holD	DNA polymerase III, psi subunit	X	0.0701138563	-4.5	-4.5	0.3493217236	0.2036223814	-4.5	-0.7236449449	0.8085526143	-1.4210198041	-1.0218826613	-4.5	-0.7334523527	4.5	X	BN373_04531	ERS227112_02306	ROD_48731	SL1344_4485	SL3261_4485	STMMW_45001	STM_MW45001	SEN4319	t4600	EC958_0100	NCTC13441_04023	BW25113_4372	b4372	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
nrdA	ribonucleoside-diphosphate reductase, alpha subunit	X	-4.5	-4.5	0.7365977971	-2.0024039279	2.0052488654	-1.1873406088	-4.5	-0.8286871655	-4.5	-2.0942277574	-2.2731822889	-1.9582371159	-4.5	X	BN373_32531	ERS227112_03937	ROD_23551	SL1344_2246	SL3261_2246	STMMW_23011	STM_MW23011	SEN2259	t0587	EC958_2571	NCTC13441_01474	BW25113_2234	b2234	0	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00230	Purine metabolism 
nrdB	ribonucleoside-diphosphate reductase class Ia beta subunit	-0.1422047201	-1.0771965997	-4.5	0.9279737496	-1.7043488671	1.5457798636	-4.5	-4.5	-0.0286595777	-1.7692809017	-4.5	-1.569564965	-1.258363257	-4.5	ENC_39600	BN373_32541	ERS227112_03936	ROD_23561	SL1344_2247	SL3261_2247	STMMW_23021	STM_MW23021	SEN2260	t0586	EC958_2572	NCTC13441_01473	BW25113_2235	b2235	2	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00230	Purine metabolism 
pgm	phosphoglucomutase, alpha-D-glucose phosphate-specific	2.2690768917	2.162081247	-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	ENC_20380	BN373_12821	ERS227112_03152	ROD_06961	SL1344_0680	SL3261_0680	STMMW_07561	STM_MW07561	SEN0662	t2177	EC958_0806	NCTC13441_03303	BW25113_0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
pnp	Polyribonucleotide nucleotidyltransferase	2.6256655636	2.3797648803	1.8635106377	2.1846221778	2.0556337844	1.9843304998	2.0747201062	1.5707947604	1.9039357289	2.0908056638	1.9482827121	1.5930631333	-1.3994467863	4.5	ENC_414added	BN373_42241	ERS227112_01029	ROD_46681	SL1344_3255	SL3261_3255	STMMW_32821	STM_MW32821	SEN3117	t3200	EC958_3566	NCTC13441_00531	BW25113_3164	b3164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
polA	DNA polymerase I	-1.9714971959	1.5166048373	-4.5	1.4818580185	0.1911740947	1.0835943715	-1.2622244056	-0.8398417362	-1.4205652563	-2.4851800505	1.0619313131	0.4679792727	-0.3795897634	-4.5	ENC_1added	BN373_48041	ERS227112_00414	ROD_38971	SL1344_3947	SL3261_3947	STMMW_39641	STM_MW39641	SEN3788	t3621	EC958_4341	NCTC13441_04638	BW25113_3863	b3863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
prs	ribose-phosphate pyrophosphokinase	-4.5	-0.7890031956	-4.5	-1.6230858323	-1.9107734895	-1.2895045012	-1.2711571467	-4.5	-1.5737769852	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_07550	BN373_28321	ERS227112_04430	ROD_18061	SL1344_1708	SL3261_1708	STMMW_17721	STM_MW17721	SEN1259	t1096	EC958_1475	NCTC13441_02635	BW25113_1207	b1207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
purB	Adenylosuccinate lyase	-0.3997295056	0.6734803412	-0.3914253176	0.5473927831	0.4655118386	0.3297383417	0.821875512	0.5458981323	0.7256497596	-0.6786715774	-0.1592854202	1.0466354666	-4.5	-4.5	ENC_15040	BN373_17561	ERS227112_03609	ROD_12211	SL1344_1170	SL3261_1170	STMMW_12421	STM_MW12421	SEN1817	t1688	EC958_1328	NCTC13441_02781	BW25113_1131	b1131	3	4	4	2	3	3	3	3	3	2	2	2	2	2	eco00230	Purine metabolism 
rpoA	DNA-directed RNA polymerase subunit alpha	-4.5	-1.5902574909	-4.5	-1.9123133572	-1.788002195	-2.5437985083	-1.2732620988	-4.5	-0.280778131	-4.5	-1.7848410138	-4.5	-4.5	-4.5	ENC_25100	BN373_43321	ERS227112_00890	ROD_45261	SL1344_3382	SL3261_3382	STMMW_34081	STM_MW34081	SEN3243	t4090	EC958_3689	NCTC13441_00400	BW25113_3295	b3295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
rpoB	DNA-directed RNA polymerase subunit beta	-3.0770198041	-2.414300654	-2.6451459847	-0.9445784961	-1.7802930393	-2.725534889	-1.5730362336	-2.4407286057	-1.2914087061	-3.5649515551	-3.3755052701	-3.6419907372	-4.5	-4.5	ENC_01390	BN373_49801	ERS227112_01835	ROD_37651	SL1344_4092	SL3261_4092	STMMW_41061	STM_MW41061	SEN3937	t3474	EC958_5098	NCTC13441_04508	BW25113_3987	b3987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
rpoC	DNA-directed RNA polymerase subunit beta'	-2.4293153238	-1.3611592875	-4.5	-0.8234316042	-4.1271256803	-2.3639847966	-1.9354370502	-4.5	-1.2373148567	-1.5262214368	-1.7071371533	-3.6916336035	-3.2490438134	-4.5	ENC_13added	BN373_49811	ERS227112_01836	ROD_37641	SL1344_4093	SL3261_4093	STMMW_41071	STM_MW41071	SEN3938	t3473	EC958_5099	NCTC13441_04507	BW25113_3988	b3988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00230	Purine metabolism 
spoT	Bifunctional (p)ppGpp synthase/hydrolase SpoT	1.7728136036	1.5361685591	-0.4638423622	0.7274098882	1.2271269734	1.4432225932	0.7756508513	1.0610731823	1.0171060067	-0.0631312181	1.3086895998	0.6363673958	0.946446493	-4.5	ENC_26added	BN373_46401	ERS227112_00581	ROD_41661	SL1344_3708	SL3261_3708	STMMW_37311	STM_MW37311	SEN3564	t3776	EC958_4057	NCTC13441_00034	BW25113_3650	b3650	1	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00230	Purine metabolism 
cmk	cytidylate kinase	0.5757036064	-4.5	0.8127508023	0.1080373753	1.0389783819	X	1.406221839	0.5510541441	1.1333201583	0.5936451132	1.1592735476	0.1870450701	0.5280666706	4.5	ENC_17730	BN373_15531	ERS227112_03425	ROD_09781	SL1344_0917	X	STMMW_09911	STM_MW09911	SEN0884	t1954	EC958_1120	NCTC13441_02979	BW25113_0910	b0910	1	1	1	1	1	0	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
dcd	dCTP deaminase	2.0582723653	1.6445056968	1.6296061603	2.0387582107	1.2318194533	1.9799022075	-0.1351671914	-4.5	1.3363088609	1.5886881847	1.0529380091	0.043699131	0.3559286237	4.5	ENC_41020	BN373_31211	ERS227112_04064	ROD_22011	SL1344_2098	SL3261_2098	STMMW_21531	STM_MW21531	SEN2117	t0751	EC958_2405	NCTC13441_01646	BW25113_2065	b2065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
dnaE	DNA polymerase III, alpha subunit	-3.4188002012	-1.8034342907	-4.5	-2.9480867005	-3.4945953015	-4.5	-1.964627102	-4.5	-1.1348616836	-4.5	-2.8522112877	-3.1909592564	-2.654077532	-4.5	ENC_47070	BN373_06891	ERS227112_02539	ROD_01871	SL1344_0232	SL3261_0232	STMMW_02371	STM_MW02371	SEN0238	t0232	EC958_0330	NCTC13441_03792	BW25113_0184	b0184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
dnaN	DNA polymerase III, beta subunit	-4.5	-4.5	-1.926908783	-1.5703652445	-4.5	-4.5	-2.6959101474	-1.1302369152	-1.4867059604	-4.5	-4.5	-2.4737428643	-4.5	-4.5	ENC_03930	BN373_47481	ERS227112_00471	ROD_40261	SL1344_3804	SL3261_3804	STMMW_38221	STM_MW38221	SEN3654	t3682	EC958_4174	NCTC13441_04815	BW25113_3701	b3701	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
dnaQ	DNA polymerase III, epsilon subunit	-1.3704429924	-0.9365809859	-4.5	-4.5	-0.1221187606	-1.8242858188	-0.3960961882	-4.5	0.7794375273	-4.5	0.1824227856	-0.9624394916	-0.0441091825	4.5	ENC_24790	BN373_07151	ERS227112_02570	ROD_02201	SL1344_0259	SL3261_0259	STMMW_02631	STM_MW02631	SEN0266	t2601	EC958_0358	NCTC13441_03761	BW25113_0215	b0215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
dnaX	DNA polymerase III, tau subunit	X	-4.5	-4.5	-4.5	-4.5	-2.6650808065	-2.3971176253	-4.5	-2.9866819648	-4.5	-1.6210362752	-4.5	-2.0791507575	-4.5	X	BN373_09401	ERS227112_02804A	ROD_05281	SL1344_0477	SL3261_0477	STMMW_05541	STM_MW05541	SEN0465	t2376	EC958_0609	NCTC13441_14added	BW25113_0470	b0470	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
dut	deoxyuridine 5'-triphosphate nucleotidohydrolase	-4.5	-4.5	-4.5	-4.5	-1.1753161802	-4.5	-0.2439926573	-4.5	-0.1446997781	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_02590	BN373_46231	ERS227112_00597	ROD_41751	SL1344_3697	SL3261_3697	STMMW_37201	STM_MW37201	SEN3553	t3787	EC958_4048	NCTC13441_00043	BW25113_3640	b3640	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
holA	DNA polymerase III, delta subunit	-4.5	-4.5	-1.5769120234	-4.5	-4.5	-1.9396110517	-4.5	-4.5	-1.719487311	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_20700	BN373_12521	ERS227112_03114	ROD_06601	SL1344_0634	SL3261_0634	STMMW_07111	STM_MW07111	SEN0615	t2221	EC958_0759	NCTC13441_03355	BW25113_0640	b0640	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
holB	DNA polymerase III, delta prime subunit	-4.5	-4.5	-1.6136566404	-1.6734854293	-4.5	-0.9295435387	-1.5210699069	-4.5	-4.5	-4.5	-4.5	-1.6156914417	-0.3568020513	-4.5	ENC_15390	BN373_17111	ERS227112_03575	ROD_11611	SL1344_1138	SL3261_1138	STMMW_12101	STM_MW12101	SEN1848	t1719	EC958_1295	NCTC13441_02813	BW25113_1099	b1099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
holC	DNA polymerase III, chi subunit	-0.8144192811	0.8078819414	-4.5	-0.4049521631	1.5422724438	1.1613204379	-0.130104186	-4.5	1.5783937053	0.6239753478	1.6628569495	1.8149259946	-0.2627922671	4.5	ENC_34510	BN373_02811	ERS227112_02146	ROD_33251	SL1344_4406	SL3261_4406	STMMW_44221	STM_MW44221	SEN4229	t4511	EC958_4753	NCTC13441_04189	BW25113_4259	b4259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
holD	DNA polymerase III, psi subunit	X	0.0701138563	-4.5	-4.5	0.3493217236	0.2036223814	-4.5	-0.7236449449	0.8085526143	-1.4210198041	-1.0218826613	-4.5	-0.7334523527	4.5	X	BN373_04531	ERS227112_02306	ROD_48731	SL1344_4485	SL3261_4485	STMMW_45001	STM_MW45001	SEN4319	t4600	EC958_0100	NCTC13441_04023	BW25113_4372	b4372	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
nrdA	ribonucleoside-diphosphate reductase, alpha subunit	X	-4.5	-4.5	0.7365977971	-2.0024039279	2.0052488654	-1.1873406088	-4.5	-0.8286871655	-4.5	-2.0942277574	-2.2731822889	-1.9582371159	-4.5	X	BN373_32531	ERS227112_03937	ROD_23551	SL1344_2246	SL3261_2246	STMMW_23011	STM_MW23011	SEN2259	t0587	EC958_2571	NCTC13441_01474	BW25113_2234	b2234	0	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00240	Pyrimidine metabolism 
nrdB	ribonucleoside-diphosphate reductase class Ia beta subunit	-0.1422047201	-1.0771965997	-4.5	0.9279737496	-1.7043488671	1.5457798636	-4.5	-4.5	-0.0286595777	-1.7692809017	-4.5	-1.569564965	-1.258363257	-4.5	ENC_39600	BN373_32541	ERS227112_03936	ROD_23561	SL1344_2247	SL3261_2247	STMMW_23021	STM_MW23021	SEN2260	t0586	EC958_2572	NCTC13441_01473	BW25113_2235	b2235	2	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00240	Pyrimidine metabolism 
pnp	Polyribonucleotide nucleotidyltransferase	2.6256655636	2.3797648803	1.8635106377	2.1846221778	2.0556337844	1.9843304998	2.0747201062	1.5707947604	1.9039357289	2.0908056638	1.9482827121	1.5930631333	-1.3994467863	4.5	ENC_414added	BN373_42241	ERS227112_01029	ROD_46681	SL1344_3255	SL3261_3255	STMMW_32821	STM_MW32821	SEN3117	t3200	EC958_3566	NCTC13441_00531	BW25113_3164	b3164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
polA	DNA polymerase I	-1.9714971959	1.5166048373	-4.5	1.4818580185	0.1911740947	1.0835943715	-1.2622244056	-0.8398417362	-1.4205652563	-2.4851800505	1.0619313131	0.4679792727	-0.3795897634	-4.5	ENC_1added	BN373_48041	ERS227112_00414	ROD_38971	SL1344_3947	SL3261_3947	STMMW_39641	STM_MW39641	SEN3788	t3621	EC958_4341	NCTC13441_04638	BW25113_3863	b3863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
pyrG	CTP synthase	-2.9656060887	-1.0508697873	-2.1446719804	-2.3924736223	-2.8456731593	-2.7752885472	-2.6478373839	-1.7832199038	-1.1642330553	-1.9654578066	-4.5	-4.5	-4.5	-4.5	ENC_30230	BN373_37681	ERS227112_01536	ROD_30341	SL1344_2932	SL3261_2932	STMMW_29161	STM_MW29161	SEN2792	t2854	EC958_3049	NCTC13441_00994	BW25113_2780	b2780	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
pyrH	uridylate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-1.7857056797	-4.5	-1.2854584687	-4.5	-4.5	-1.6175060872	-4.5	-4.5	ENC_46940	BN373_06761	ERS227112_02526	ROD_01741	SL1344_0219	SL3261_0219	STMMW_02241	STM_MW02241	SEN0225	t0219	EC958_0317	NCTC13441_03806	BW25113_0171	b0171	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
rpoA	DNA-directed RNA polymerase subunit alpha	-4.5	-1.5902574909	-4.5	-1.9123133572	-1.788002195	-2.5437985083	-1.2732620988	-4.5	-0.280778131	-4.5	-1.7848410138	-4.5	-4.5	-4.5	ENC_25100	BN373_43321	ERS227112_00890	ROD_45261	SL1344_3382	SL3261_3382	STMMW_34081	STM_MW34081	SEN3243	t4090	EC958_3689	NCTC13441_00400	BW25113_3295	b3295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
rpoB	DNA-directed RNA polymerase subunit beta	-3.0770198041	-2.414300654	-2.6451459847	-0.9445784961	-1.7802930393	-2.725534889	-1.5730362336	-2.4407286057	-1.2914087061	-3.5649515551	-3.3755052701	-3.6419907372	-4.5	-4.5	ENC_01390	BN373_49801	ERS227112_01835	ROD_37651	SL1344_4092	SL3261_4092	STMMW_41061	STM_MW41061	SEN3937	t3474	EC958_5098	NCTC13441_04508	BW25113_3987	b3987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
rpoC	DNA-directed RNA polymerase subunit beta'	-2.4293153238	-1.3611592875	-4.5	-0.8234316042	-4.1271256803	-2.3639847966	-1.9354370502	-4.5	-1.2373148567	-1.5262214368	-1.7071371533	-3.6916336035	-3.2490438134	-4.5	ENC_13added	BN373_49811	ERS227112_01836	ROD_37641	SL1344_4093	SL3261_4093	STMMW_41071	STM_MW41071	SEN3938	t3473	EC958_5099	NCTC13441_04507	BW25113_3988	b3988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
thyA	thymidylate synthase	-4.5	-4.5	-4.5	-4.5	-2.1583252743	-2.1105158026	-1.2824761016	-4.5	-0.4936152014	-1.1840668498	-2.0697777651	-4.5	-4.5	4.5	ENC_30630	BN373_38661	ERS227112_01432	ROD_28691	SL1344_2979	SL3261_2979	STMMW_29621	STM_MW29621	SEN2843	t2910	EC958_5050	NCTC13441_00913	BW25113_2827	b2827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
tmk	thymidylate kinase	-4.5	-4.5	-4.5	-4.5	-4.5	-1.1765114043	-1.075232208	-4.5	-1.2259089259	-4.5	-1.5050362919	-4.5	-4.5	-4.5	ENC_15400	BN373_17101	ERS227112_03574	ROD_11601	SL1344_1137	SL3261_1137	STMMW_12091	STM_MW12091	SEN1849	t1720	EC958_1294	NCTC13441_02814	BW25113_1098	b1098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00240	Pyrimidine metabolism 
accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-2.0611159024	-4.5	-1.2947620187	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_47080	BN373_06901	ERS227112_02540	ROD_01881	SL1344_0233	SL3261_0233	STMMW_02381	STM_MW02381	SEN0239	t0233	EC958_0331	NCTC13441_03791	BW25113_0185	b0185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00620	Pyruvate metabolism 
accB	biotin carboxyl carrier protein	-1.5570538888	-0.8371673697	-4.5	-4.5	-1.7106580789	-4.5	-4.5	X	-1.3214113017	-4.5	-4.5	-4.5	-0.8840421093	-4.5	ENC_35030	BN373_43051	ERS227112_00942	ROD_45591	SL1344_3352	SL3261_3352	STMMW_33771	X	SEN3213	t3294	EC958_3647	NCTC13441_00446	BW25113_3255	b3255	1	2	1	1	1	1	1	0	1	1	1	1	1	1	eco00620	Pyruvate metabolism 
accC	Biotin carboxylase	-2.1002628673	-4.5	-4.5	-1.5313932766	-2.6929607146	-2.7560792555	-1.2522391353	-4.5	-3.0661120384	-4.5	-2.1037791903	-4.5	-4.5	-4.5	ENC_35050	BN373_43061	ERS227112_00941	ROD_45581	SL1344_3353	SL3261_3353	STMMW_33781	STM_MW33781	SEN3214	t3295	EC958_3648	NCTC13441_00445	BW25113_3256	b3256	1	0	0	0	0	0	0	0	0	0	0	0	0	0	eco00620	Pyruvate metabolism 
accD	acetyl-CoA carboxylase carboxyltransferase subunit alpha	-4.5	-4.5	-4.5	-1.6843217266	-4.5	-4.5	-1.710090881	-4.5	-4.5	-4.5	-2.0109132603	-4.5	-4.5	-4.5	ENC_38910	BN373_33161	ERS227112_03873	ROD_27281	SL1344_2335	SL3261_2335	STMMW_23881	STM_MW23881	SEN2348	t0498	EC958_2651	NCTC13441_01395	BW25113_2316	b2316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00620	Pyruvate metabolism 
aceE	pyruvate dehydrogenase E1 component, homodimeric type	1.2696037409	2.0437983264	0.2521806314	1.5864429927	0.110527517	0.9327913785	0.9535114205	-0.313692292	0.7746859797	-1.6050684544	0.8767102889	-0.3220568791	1.6059941799	4.5	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	BW25113_0114	b0114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00620	Pyruvate metabolism 
aceF	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase, long form	0.9133373207	1.9203138271	-0.2331814339	1.2239036763	0	-0.0910065042	0.399763648	-0.30496167	0.3627593102	-2.6393038246	0.7595260314	-0.671923976	0.2989506555	4.5	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	BW25113_0115	b0115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00620	Pyruvate metabolism 
lpdA	dihydrolipoamide dehydrogenase	-1.3143918345	0.8016237362	-4.5	-0.6975769459	-0.7138162473	-2.5784884794	-0.2967405039	-1.6306134324	0.1672680032	-2.3528419954	-2.086324611	-4.5	0.6791219417	4.5	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	BW25113_0116	b0116	3	4	5	3	4	4	4	4	4	4	5	5	4	4	eco00620	Pyruvate metabolism 
ffh	signal recognition particle subunit FFH/SRP54 (srp54)	-4.5	-1.4458346298	-4.5	-4.5	-2.5042030368	-2.4000267764	-2.3239087356	-4.5	-1.2873580612	-4.5	-4.5	-1.9413495378	-4.5	-4.5	ENC_28090	BN373_35871	ERS227112_01710	ROD_25601	SL1344_2650	SL3261_2650	STMMW_26911	STM_MW26911	SEN2598	t2632	EC958_2912	NCTC13441_01131	BW25113_2610	b2610	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02024	Quorum sensing 
ftsY	signal recognition particle-docking protein FtsY	-4.5	-1.4074454644	-4.5	-2.3340663714	-1.1372422641	-2.4239179276	-1.3668556133	-2.1536695855	-0.4748992468	-4.5	-4.5	-4.5	-0.8742417392	-4.5	ENC_26560	BN373_44651	ERS227112_00755	ROD_43571	SL1344_3536	SL3261_3536	STMMW_35601	STM_MW35601	SEN3394	t3951	EC958_3858	NCTC13441_00236	BW25113_3464	b3464	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02024	Quorum sensing 
lepB	signal peptidase I . Serine peptidase. MEROPS family S26A	-4.5	-1.0885480944	-2.2379508682	-4.5	-0.777117904	-1.2915930032	-0.6858759764	-4.5	-0.2376088021	-4.5	-1.387933597	-1.5807637738	-4.5	-4.5	ENC_36930	BN373_35511	ERS227112_00020	ROD_25141	SL1344_2544	SL3261_2544	STMMW_25981	STM_MW25981	SEN2562	t0275	EC958_2874	NCTC13441_01171	BW25113_2568	b2568	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02024	Quorum sensing 
oxaA	protein translocase subunit yidC	-3.1276006302	-4.5	-2.3452115994	-1.0557314214	-2.4515219474	-3.1091503364	-3.0983295427	-4.5	-1.3263671123	-4.5	-2.1959395361	-4.5	-4.5	-4.5	ENC_03960	BN373_47531	ERS227112_00468	ROD_40241	SL1344_3809	SL3261_3809	STMMW_38271	STM_MW38271	SEN3659	t3678	EC958_4179	NCTC13441_04811	BW25113_3705	b3705	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02024	Quorum sensing 
ribA	GTP cyclohydrolase II	-4.5	-4.5	-4.5	-4.5	-1.4493375436	-0.8058768234	-4.5	-4.5	-0.7136723874	-4.5	-1.3417683432	-4.5	-4.5	-4.5	ENC_08380	BN373_18991	ERS227112_05455	ROD_17231	SL1344_1643	SL3261_1643	STMMW_17061	STM_MW17061	SEN1322	t1624	EC958_1609	NCTC13441_02486	BW25113_1277	b1277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02024	Quorum sensing 
