Gene	Product	log(ii/essentiality+AF8-threshold)													Locus tag													Number of copies of gene in the genome													path+AF8-id	path+AF8-name
		Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
polA	DNA polymerase I	1.5166048373	+AC0-4.5	1.4818580185	0.1911740947	1.0835943715	+AC0-1.2622244056	+AC0-0.8398417362	+AC0-1.4205652563	+AC0-2.4851800505	1.0619313131	0.4679792727	+AC0-0.3795897634	+AC0-4.5	BN373+AF8-48041	ERS227112+AF8-00414	ROD+AF8-38971	SL1344+AF8-3947	SL3261+AF8-3947	STMMW+AF8-39641	STM+AF8-MW39641	SEN3788	t3621	EC958+AF8-4341	NCTC13441+AF8-04638	BW25113+AF8-3863	b3863	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03420	Nucleotide excision repair 
fmt	methionyl+AC0-tRNA formyltransferase	0.4000044	+AC0-4.5	+AC0-1.176831191	+AC0-0.8231554014	+AC0-1.8029207319	+AC0-0.9344015259	+AC0-4.5	0.3222205386	+AC0-1.5959106429	+AC0-1.3340740197	+AC0-2.0820822851	+AC0-4.5	+AC0-4.5	BN373+AF8-43241	ERS227112+AF8-00898	ROD+AF8-45341	SL1344+AF8-3374	SL3261+AF8-3374	STMMW+AF8-34001	STM+AF8-MW34001	SEN3235	t4097	EC958+AF8-3681	NCTC13441+AF8-00408	BW25113+AF8-3288	b3288	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00670	One carbon pool by folate 
folA	dihydrofolate reductase	+AC0-4.5	2.3165465139	+AC0-4.5	+AC0-4.5	+AC0-4.5	1.7031031203	1.6733275326	+AC0-1.9447979852	1.3186172231	1.9199570335	2.0184617704	+AC0-4.5	+AC0-4.5	BN373+AF8-05321	ERS227112+AF8-02381	ROD+AF8-00551	SL1344+AF8-0088	SL3261+AF8-0088	STMMW+AF8-00921	STM+AF8-MW00921	SEN0089	t0090	EC958+AF8-0182	NCTC13441+AF8-03942	BW25113+AF8-0048	b0048	1	2	1	1	1	1	1	1	1	1	1	1	1	eco00670	One carbon pool by folate 
folD	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	0.3760107936	+AC0-4.5	+AC0-0.3401239331	+AC0-2.0851081909	+AC0-1.8464942813	+AC0-0.5471772927	+AC0-4.5	+AC0-1.59235964	+AC0-1.627633436	+AC0-1.9200796599	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-09731	ERS227112+AF8-02835	ROD+AF8-05611	SL1344+AF8-0535	SL3261+AF8-0535	STMMW+AF8-06101	STM+AF8-MW06101	SEN0523	t2321	EC958+AF8-0668	NCTC13441+AF8-03446	BW25113+AF8-0529	b0529	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00670	One carbon pool by folate 
glyA	serine hydroxymethyltransferase	+AC0-1.3466417536	+AC0-4.5	1.6585957606	0.5563811839	1.5967618923	+AC0-4.5	0.4159777824	+AC0-1.2462443696	+AC0-0.154086078	+AC0-1.6046028481	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-35341	ERS227112+AF8-00039	ROD+AF8-24931	SL1344+AF8-2517	SL3261+AF8-2517	STMMW+AF8-25721	STM+AF8-MW25721	SEN2535	t0301	EC958+AF8-2857	NCTC13441+AF8-01190	BW25113+AF8-2551	b2551	1	1	1	1	1	1	1	2	2	1	1	1	1	eco00670	One carbon pool by folate 
thyA	thymidylate synthase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.1583252743	+AC0-2.1105158026	+AC0-1.2824761016	+AC0-4.5	+AC0-0.4936152014	+AC0-1.1840668498	+AC0-2.0697777651	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-38661	ERS227112+AF8-01432	ROD+AF8-28691	SL1344+AF8-2979	SL3261+AF8-2979	STMMW+AF8-29621	STM+AF8-MW29621	SEN2843	t2910	EC958+AF8-5050	NCTC13441+AF8-00913	BW25113+AF8-2827	b2827	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00670	One carbon pool by folate 
cydA	cytochrome d ubiquinol oxidase, subunit I	2.0941965205	2.4633733398	1.575801758	+AC0-1.322894525	+AC0-0.3874235377	0.2862203204	+AC0-0.1616783965	0.5080657273	1.0961740115	0.8240163691	+AC0-4.5	+AC0-0.2206408374	+AC0-4.5	BN373+AF8-13101	ERS227112+AF8-03179	ROD+AF8-07271	SL1344+AF8-0722	SL3261+AF8-0722	STMMW+AF8-07971	STM+AF8-MW07971	SEN0690	t2136	EC958+AF8-0850	NCTC13441+AF8-03262	BW25113+AF8-0733	b0733	3	3	2	3	3	3	3	3	2	2	2	2	2	eco00190	Oxidative phosphorylation 
cydB	cytochrome d ubiquinol oxidase, subunit II	2.1148866867	2.4666456781	1.8701536961	+AC0-1.2909792129	+AC0-0.2210390383	+AC0-0.0861092889	+AC0-4.5	+AC0-0.0325408443	0.7987584199	0.7792555873	+AC0-4.5	+AC0-0.5900390917	4.5	BN373+AF8-13111	ERS227112+AF8-03180	ROD+AF8-07281	SL1344+AF8-0723	SL3261+AF8-0723	STMMW+AF8-07981	STM+AF8-MW07981	SEN0691	t2135	EC958+AF8-0851	NCTC13441+AF8-03261	BW25113+AF8-0734	b0734	3	3	2	3	3	3	3	3	3	2	2	2	2	eco00190	Oxidative phosphorylation 
ppa	inorganic diphosphatase	+AC0-4.5	+AC0-4.5	+AC0-1.2625607132	+AC0-1.7909372213	+AC0-1.8180286895	+AC0-0.5073302263	+AC0-0.8555274179	+AC0-0.3445854244	+AC0-4.5	+AC0-4.5	+AC0-1.5064050959	+AC0-4.5	+AC0-4.5	BN373+AF8-02321	ERS227112+AF8-02097	ROD+AF8-32861	SL1344+AF8-4347	SL3261+AF8-4347	STMMW+AF8-43581	STM+AF8-MW43581	SEN4183	t4468	EC958+AF8-4720	NCTC13441+AF8-04220	BW25113+AF8-4226	b4226	2	2	2	1	1	1	1	1	1	1	1	1	1	eco00190	Oxidative phosphorylation 
acpS	holo+AC0-(acyl+AC0-carrier+AC0-protein) synthase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.8395954912	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-35461	ERS227112+AF8-00025	ROD+AF8-25091	SL1344+AF8-2539	SL3261+AF8-2539	STMMW+AF8-25931	STM+AF8-MW25931	SEN2557	t0280	EC958+AF8-2869	NCTC13441+AF8-01176	BW25113+AF8-2563	b2563	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00770	Pantothenate and CoA biosynthesis 
coaA	pantothenate kinase	+AC0-4.5	+AC0-1.8651964588	+AC0-0.5165639663	+AC0-1.5442142213	+AC0-2.6734756253	+AC0-1.146437861	+AC0-4.5	+AC0-0.3686836757	+AC0-1.0381898024	+AC0-1.2581224501	+AC0-4.5	+AC0-0.1763509934	+AC0-4.5	BN373+AF8-49721	ERS227112+AF8-01822	ROD+AF8-37751	SL1344+AF8-4083	SL3261+AF8-4083	STMMW+AF8-40981	STM+AF8-MW40981	SEN3928	t3487	EC958+AF8-5090	NCTC13441+AF8-04521	BW25113+AF8-3974	b3974	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00770	Pantothenate and CoA biosynthesis 
coaBC	phosphopantothenoylcysteine decarboxylase/phosphopantothenate+AC0ALQ-cysteine ligase	+AC0-1.9259639781	+AC0-4.5	+AC0-1.6318223117	+AC0-4.5	+AC0-2.2448097253	+AC0-1.7404510658	+AC0-4.5	+AC0-2.5176962477	+AC0-4.5	+AC0-1.929369971	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-46221	ERS227112+AF8-00598	ROD+AF8-41761	SL1344+AF8-3696	SL3261+AF8-3696	STMMW+AF8-37191	STM+AF8-MW37191	SEN3552	t3788	EC958+AF8-4047	NCTC13441+AF8-00044	BW25113+AF8-3639	b3639	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00770	Pantothenate and CoA biosynthesis 
coaD	pantetheine+AC0-phosphate adenylyltransferase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.0023445435	+AC0-4.5	+AC0-4.5	+AC0-2.2763262184	+AC0-4.5	+AC0-1.3416116602	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-46171	ERS227112+AF8-00603	ROD+AF8-41821	SL1344+AF8-3691	SL3261+AF8-3691	STMMW+AF8-37141	STM+AF8-MW37141	SEN3547	t3793	EC958+AF8-4042	NCTC13441+AF8-00049	BW25113+AF8-3634	b3634	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00770	Pantothenate and CoA biosynthesis 
coaE	dephospho+AC0-CoA kinase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.155177591	+AC0-1.7707115382	+AC0-0.9862985892	+AC0-4.5	+AC0-0.349918934	+AC0-4.5	+AC0-1.9460460694	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05951	ERS227112+AF8-02443	ROD+AF8-01081	SL1344+AF8-0140	SL3261+AF8-0140	STMMW+AF8-01461	STM+AF8-MW01461	SEN0144	t0146	EC958+AF8-0243	NCTC13441+AF8-03883	BW25113+AF8-0103	b0103	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00770	Pantothenate and CoA biosynthesis 
fbaA	fructose+AC0-bisphosphate aldolase	+AC0-0.8946265231	+AC0-4.5	+AC0-4.5	+AC0-1.7958522457	+AC0-1.3666825203	+AC0-1.2360038199	+AC0-4.5	+AC0-0.9087222659	+AC0-2.3141521704	0.3985301564	+AC0-2.0147456354	+AC0-4.5	+AC0-4.5	BN373+AF8-40181	ERS227112+AF8-01311	ROD+AF8-50681	SL1344+AF8-3044	SL3261+AF8-3044	STMMW+AF8-30291	STM+AF8-MW30291	SEN2911	t2987	EC958+AF8-3204	NCTC13441+AF8-00831	BW25113+AF8-2925	b2925	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00030	Pentose phosphate pathway 
pgm	phosphoglucomutase, alpha+AC0-D+AC0-glucose phosphate+AC0-specific	2.162081247	+AC0-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	+AC0-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	BN373+AF8-12821	ERS227112+AF8-03152	ROD+AF8-06961	SL1344+AF8-0680	SL3261+AF8-0680	STMMW+AF8-07561	STM+AF8-MW07561	SEN0662	t2177	EC958+AF8-0806	NCTC13441+AF8-03303	BW25113+AF8-0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00030	Pentose phosphate pathway 
prs	ribose+AC0-phosphate pyrophosphokinase	+AC0-0.7890031956	+AC0-4.5	+AC0-1.6230858323	+AC0-1.9107734895	+AC0-1.2895045012	+AC0-1.2711571467	+AC0-4.5	+AC0-1.5737769852	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-28321	ERS227112+AF8-04430	ROD+AF8-18061	SL1344+AF8-1708	SL3261+AF8-1708	STMMW+AF8-17721	STM+AF8-MW17721	SEN1259	t1096	EC958+AF8-1475	NCTC13441+AF8-02635	BW25113+AF8-1207	b1207	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00030	Pentose phosphate pathway 
rpiA	ribose 5+AC0-phosphate isomerase A	1.6165362	+AC0-1.5057629549	1.4229880801	+AC0-0.8963198796	+AC0-1.2767550432	0.8688065354	+AC0-0.3677491859	0.1302107411	+AC0-1.8022173381	0.4974311091	1.9714897883	1.3255999939	4.5	BN373+AF8-40131	ERS227112+AF8-01316	ROD+AF8-49161	SL1344+AF8-3039	SL3261+AF8-3039	STMMW+AF8-30231	STM+AF8-MW30231	SEN2906	t2981	EC958+AF8-3194	NCTC13441+AF8-00841	BW25113+AF8-2914	b2914	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00030	Pentose phosphate pathway 
tktA	transketolase 1, thiamine triphosphate+AC0-binding	1.9858802308	1.64530687	2.0041488423	2.0606476469	1.6503095755	1.8017013499	1.1872829884	1.4627508166	+AC0-1.8516259556	1.5751694551	0.9303221118	1.9140807742	4.5	BN373+AF8-40211	ERS227112+AF8-01308	ROD+AF8-50511	SL1344+AF8-3052	SL3261+AF8-3052	STMMW+AF8-30371	STM+AF8-MW30371	SEN2919	t2996	EC958+AF8-3220	NCTC13441+AF8-00816	BW25113+AF8-2935	b2935	3	2	3	2	2	2	2	2	2	3	3	2	2	eco00030	Pentose phosphate pathway 
ftsI	peptidoglycan synthetase FtsI	+AC0-1.9422305077	+AC0-4.5	+AC0-2.3567315436	+AC0-2.2218354335	+AC0-4.5	+AC0-2.7441098925	+AC0-4.5	+AC0-1.0012424099	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05771	ERS227112+AF8-02425	ROD+AF8-00901	SL1344+AF8-0122	SL3261+AF8-0122	STMMW+AF8-01281	STM+AF8-MW01281	SEN0123	t0126	EC958+AF8-0224	NCTC13441+AF8-03901	BW25113+AF8-0084	b0084	4	4	3	4	4	4	4	4	3	2	2	2	2	eco00550	Peptidoglycan biosynthesis 
mraY	phospho+AC0-N+AC0-acetylmuramoyl+AC0-pentapeptide+AC0-transfera se	+AC0-1.4484972458	+AC0-4.5	+AC0-4.5	+AC0-2.4217110839	+AC0-2.3481235761	+AC0-1.5578543136	+AC0-4.5	+AC0-0.9147625411	+AC0-4.5	+AC0-1.8347544033	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05801	ERS227112+AF8-02428	ROD+AF8-00931	SL1344+AF8-0125	SL3261+AF8-0125	STMMW+AF8-01311	STM+AF8-MW01311	SEN0126	t0129	EC958+AF8-0227	NCTC13441+AF8-03898	BW25113+AF8-0087	b0087	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00550	Peptidoglycan biosynthesis 
mrdA	penicillin+AC0-binding protein 2	+AC0-0.4940564391	+AC0-0.4018848093	0.0123107729	+AC0-1.0677907859	0.0856022003	+AC0-1.7518391105	+AC0-4.5	+AC0-0.3204047595	+AC0-4.5	+AC0-0.0714878394	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-12471	ERS227112+AF8-03109	ROD+AF8-06531	SL1344+AF8-0628	SL3261+AF8-0628	STMMW+AF8-07051	STM+AF8-MW07051	SEN0609	t2227	EC958+AF8-0754	NCTC13441+AF8-03360	BW25113+AF8-0635	b0635	4	4	3	4	4	4	4	4	3	2	2	2	2	eco00550	Peptidoglycan biosynthesis 
murA	UDP+AC0-N+AC0-acetylglucosamine 1+AC0-carboxyvinyltransferase	+AC0-1.1312707208	+AC0-4.5	+AC0-2.1862765594	+AC0-1.9599897947	+AC0-2.6989978767	+AC0-1.7919157449	+AC0-4.5	+AC0-2.295670782	+AC0-4.5	+AC0-2.7366159611	+AC0-2.3397955858	+AC0-4.5	+AC0-4.5	BN373+AF8-42491	ERS227112+AF8-00999	ROD+AF8-46311	SL1344+AF8-3279	SL3261+AF8-3279	STMMW+AF8-33061	STM+AF8-MW33061	SEN3140	t3224	EC958+AF8-3589	NCTC13441+AF8-00503	BW25113+AF8-3189	b3189	2	2	2	2	1	2	2	2	2	2	2	2	2	eco00550	Peptidoglycan biosynthesis 
murB	UDP+AC0-N+AC0-acetylenolpyruvoylglucosamine reductase	+AC0-1.7473768324	+AC0-4.5	+AC0-1.2898534642	+AC0-2.722677401	+AC0-4.5	+AC0-1.9202085019	+AC0-4.5	+AC0-1.3260358865	+AC0-2.2189137637	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-49701	ERS227112+AF8-01820	ROD+AF8-37771	SL1344+AF8-4081	SL3261+AF8-4081	STMMW+AF8-40961	STM+AF8-MW40961	SEN3926	t3489	EC958+AF8-5088	NCTC13441+AF8-04523	BW25113+AF8-3972	b3972	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00550	Peptidoglycan biosynthesis 
murC	UDP+AC0-N+AC0-acetylmuramate+AC0ALQ-alanine ligase	+AC0-4.5	+AC0-4.5	+AC0-1.4761140315	+AC0-2.7267278596	+AC0-4.5	+AC0-1.8632167986	+AC0-1.694033252	+AC0-1.6272159687	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05841	ERS227112+AF8-02432	ROD+AF8-00971	SL1344+AF8-0129	SL3261+AF8-0129	STMMW+AF8-01351	STM+AF8-MW01351	SEN0130	t0133	EC958+AF8-0231	NCTC13441+AF8-03894	BW25113+AF8-0091	b0091	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00550	Peptidoglycan biosynthesis 
murD	UDP+AC0-N+AC0-acetylmuramoylalanine+AC0ALQ-D+AC0-glutamate ligase	+AC0-1.6433913581	+AC0-4.5	+AC0-2.0608378829	+AC0-4.5	+AC0-4.5	+AC0-2.4460244759	+AC0-4.5	+AC0-2.208728297	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.0398833824	+AC0-4.5	BN373+AF8-05811	ERS227112+AF8-02429	ROD+AF8-00941	SL1344+AF8-0126	SL3261+AF8-0126	STMMW+AF8-01321	STM+AF8-MW01321	SEN0127	t0130	EC958+AF8-0228	NCTC13441+AF8-03897	BW25113+AF8-0088	b0088	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00550	Peptidoglycan biosynthesis 
murE	UDP+AC0-N+AC0-acetylmuramoylalanyl+AC0-D+AC0-glutamate+AC0ALQ-2, 6+AC0-diaminopimelate ligase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.6433237842	+AC0-4.5	+AC0-1.8779580925	+AC0-4.5	+AC0-1.2341016778	+AC0-4.5	+AC0-1.2393291329	+AC0-1.306535023	+AC0-4.5	+AC0-4.5	BN373+AF8-05781	ERS227112+AF8-02426	ROD+AF8-00911	SL1344+AF8-0123	SL3261+AF8-0123	STMMW+AF8-01291	STM+AF8-MW01291	SEN0124	t0127	EC958+AF8-0225	NCTC13441+AF8-03900	BW25113+AF8-0085	b0085	1	2	1	1	1	1	1	1	1	1	1	1	1	eco00550	Peptidoglycan biosynthesis 
murF	UDP+AC0-N+AC0-acetylmuramoyl+AC0-tripeptide+AC0ALQ-D+AC0-alanyl+AC0-D+AC0-ala nine ligase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.6507480934	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.5488162667	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05791	ERS227112+AF8-02427	ROD+AF8-00921	SL1344+AF8-0124	SL3261+AF8-0124	STMMW+AF8-01301	STM+AF8-MW01301	SEN0125	t0128	EC958+AF8-0226	NCTC13441+AF8-03899	BW25113+AF8-0086	b0086	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00550	Peptidoglycan biosynthesis 
murG	undecaprenyldiphospho+AC0-muramoylpentapeptide beta+AC0-N+AC0-acetylglucosaminyltransferase	+AC0-4.5	+AC0-2.014559933	+AC0-4.5	+AC0-2.4046687653	+AC0-4.5	+AC0-1.1355923884	+AC0-4.5	+AC0-2.6909150498	+AC0-2.1594755222	+AC0-4.5	+AC0-2.0716291591	+AC0-4.5	+AC0-4.5	BN373+AF8-05831	ERS227112+AF8-02431	ROD+AF8-00961	SL1344+AF8-0128	SL3261+AF8-0128	STMMW+AF8-01341	STM+AF8-MW01341	SEN0129	t0132	EC958+AF8-0230	NCTC13441+AF8-03895	BW25113+AF8-0090	b0090	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00550	Peptidoglycan biosynthesis 
mviN	integral membrane protein MviN	+AC0-4.5	+AC0-4.5	+AC0-2.0805160355	+AC0-2.6372467117	+AC0-4.5	+AC0-1.3516307642	+AC0-4.5	+AC0-1.7424749915	+AC0-4.5	+AC0-1.7002114384	+AC0-2.0292860212	+AC0-4.5	+AC0-4.5	BN373+AF8-16941	ERS227112+AF8-03557	ROD+AF8-11321	SL1344+AF8-1107	SL3261+AF8-1107	STMMW+AF8-11781	STM+AF8-MW11781	SEN1878	t1750	EC958+AF8-1264	NCTC13441+AF8-02843	BW25113+AF8-1069	b1069	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00550	Peptidoglycan biosynthesis 
paaB	phenylacetate+AC0-CoA oxygenase, effector protein	2.1506114833	2.0692172949	X	X	X	X	X	X	X	X	X	+AC0-4.5	4.5	BN373+AF8-20251	ERS227112+AF8-05215	X	X	X	X	X	X	X	X	X	BW25113+AF8-1389	b1389	1	1	0	0	0	0	0	0	0	0	0	1	1	eco00360	Phenylalanine metabolism 
paaD	phenylacetate+AC0-CoA oxygenase, gamma subunit	2.583714354	2.2572139901	X	X	X	X	X	X	X	X	X	+AC0-4.5	4.5	BN373+AF8-20271	ERS227112+AF8-05213	X	X	X	X	X	X	X	X	X	BW25113+AF8-1391	b1391	1	1	0	0	0	0	0	0	0	0	0	1	1	eco00360	Phenylalanine metabolism 
paaK	phenylacetate+AC0-CoA ligase PaaK	2.0953439151	1.8804117836	X	X	X	X	X	X	X	X	X	+AC0-1.1236078892	4.5	BN373+AF8-20341	ERS227112+AF8-05206	X	X	X	X	X	X	X	X	X	BW25113+AF8-1398	b1398	1	1	0	0	0	0	0	0	0	0	0	1	1	eco00360	Phenylalanine metabolism 
crr	glucose+AC0-specific phosphotransferase enzyme IIA component	1.2664822692	+AC0-1.1868738912	1.5032996119	0.7577364835	0.3766985699	0.4709226892	+AC0-4.5	0.8026809692	+AC0-0.4568856729	1.2464748087	+AC0-0.1892749013	+AC0-0.1876436248	4.5	BN373+AF8-34231	ERS227112+AF8-03815	ROD+AF8-23761	SL1344+AF8-2396	SL3261+AF8-2396	STMMW+AF8-24521	STM+AF8-MW24521	SEN2414	t0424	EC958+AF8-2744	NCTC13441+AF8-01301	BW25113+AF8-2417	b2417	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02060	Phosphotransferase system (PTS) 
manZ	mannose permease IID component	2.5721317619	1.8255880272	2.0915269559	2.1674051201	2.3826157268	2.0160228103	+AC0-0.0248623618	1.5507514476	1.4578199438	2.0463373807	1.8464101119	1.1079146089	4.5	BN373+AF8-29181	ERS227112+AF8-04331	ROD+AF8-18571	SL1344+AF8-1761	SL3261+AF8-1761	STMMW+AF8-18241	STM+AF8-MW18241	SEN1205	t1046	EC958+AF8-2037	NCTC13441+AF8-02067	BW25113+AF8-1819	b1819	4	4	4	4	4	4	4	3	2	4	4	2	2	eco02060	Phosphotransferase system (PTS) 
gltX	glutamyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-2.0313295291	+AC0-2.5673041309	+AC0-4.5	+AC0-2.1579328484	+AC0-4.5	+AC0-1.1639284228	+AC0-2.1518395879	+AC0-1.3172383107	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-34121	ERS227112+AF8-03829	ROD+AF8-28181	SL1344+AF8-2381	SL3261+AF8-2381	STMMW+AF8-24371	STM+AF8-MW24371	SEN2399	t0442	EC958+AF8-5016	NCTC13441+AF8-01319	BW25113+AF8-2400	b2400	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00860	Porphyrin and chlorophyll metabolism 
hemA	glutamyl+AC0-tRNA reductase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.5691684624	+AC0-0.1635480972	+AC0-4.5	+AC0-2.549383847	+AC0-2.323626999	+AC0-0.0302904196	+AC0-4.5	+AC0-1.0301447614	+AC0-4.5	BN373+AF8-28291	ERS227112+AF8-04433	ROD+AF8-18031	SL1344+AF8-1705	SL3261+AF8-1705	STMMW+AF8-17691	STM+AF8-MW17691	SEN1262	t1099	EC958+AF8-1478	NCTC13441+AF8-02632	BW25113+AF8-1210	b1210	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00860	Porphyrin and chlorophyll metabolism 
hemB	delta+AC0-aminolevulinic acid dehydratase	1.6178071449	+AC0-1.7315489296	+AC0-4.5	+AC0-2.1693148259	+AC0-4.5	+AC0-1.1999209892	+AC0-4.5	+AC0-0.8949692443	+AC0-1.8674918298	+AC0-4.5	+AC0-1.8496871309	+AC0-4.5	+AC0-4.5	BN373+AF8-08041	ERS227112+AF8-02666	ROD+AF8-04141	SL1344+AF8-0367	SL3261+AF8-0367	STMMW+AF8-04421	STM+AF8-MW04421	SEN0355	t2492	EC958+AF8-0508	NCTC13441+AF8-03606	BW25113+AF8-0369	b0369	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00860	Porphyrin and chlorophyll metabolism 
hemC	porphobilinogen deaminase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.6059878814	+AC0-4.5	+AC0-1.2050560209	+AC0-4.5	+AC0-1.5579144935	+AC0-4.5	+AC0-2.7426839163	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-49291	ERS227112+AF8-01776	ROD+AF8-39461	SL1344+AF8-3893	SL3261+AF8-3893	STMMW+AF8-39091	STM+AF8-MW39091	SEN3739	t3359	EC958+AF8-4266	NCTC13441+AF8-04715	BW25113+AF8-3805	b3805	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00860	Porphyrin and chlorophyll metabolism 
hemD	uroporphyrinogen+AC0-III synthase	+AC0-1.4362897372	+AC0-4.5	+AC0-1.163676751	+AC0-1.65565608	+AC0-4.5	+AC0-2.3341452519	+AC0-4.5	+AC0-0.8944203421	+AC0-4.5	+AC0-4.5	+AC0-1.2115806021	+AC0-4.5	+AC0-4.5	BN373+AF8-49281	ERS227112+AF8-01775	ROD+AF8-39471	SL1344+AF8-3892	SL3261+AF8-3892	STMMW+AF8-39081	STM+AF8-MW39081	SEN3738	t3360	EC958+AF8-4265	NCTC13441+AF8-04716	BW25113+AF8-3804	b3804	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00860	Porphyrin and chlorophyll metabolism 
hemE	uroporphyrinogen decarboxylase	+AC0-0.1569212407	+AC0-2.0191302113	+AC0-1.3151295169	+AC0-2.7330117225	+AC0-1.664320467	+AC0-1.9296901682	+AC0-4.5	+AC0-1.5417293484	+AC0-4.5	+AC0-2.7185789024	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-49941	ERS227112+AF8-01850	ROD+AF8-37551	SL1344+AF8-4106	SL3261+AF8-4106	STMMW+AF8-41201	STM+AF8-MW41201	SEN3953	t3464	EC958+AF8-5108	NCTC13441+AF8-04497	BW25113+AF8-3997	b3997	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00860	Porphyrin and chlorophyll metabolism 
